# Time-averaged data for fix myat1
# TimeStep c_Tmobile
0 310
100 296.789
200 313.631
300 317.49
400 369.199
500 269.659
600 330.449
700 302.544
800 315.92
900 261.528
1000 301.676
1100 291.671
1200 321.462
1300 325.396
1400 324.528
1500 397.185
1600 285.317
1700 338.575
1800 356.426
1900 261.937
2000 287.375
2100 317.578
2200 279.938
2300 303.242
2400 316.467
2500 319.589
2600 356.737
2700 307.314
2800 362.187
2900 295.775
3000 262.009
3100 307.714
3200 277.817
3300 259.386
3400 330.212
3500 279.438
3600 305.295
3700 342.79
3800 304.319
3900 318.973
4000 304.27
4100 304.943
4200 330.177
4300 258.97
4400 307.544
4500 364.358
4600 354.865
4700 344.436
4800 375.611
4900 338.391
5000 291.274
5100 308.137
5200 323.775
5300 283.406
5400 289.817
5500 327.594
5600 330.566
5700 264.503
5800 370.042
5900 324.337
6000 291.568
6100 336.091
6200 355.48
6300 308.951
6400 309.786
6500 318.491
6600 294.582
6700 273.59
6800 286.16
6900 310.958
7000 314.065
7100 280.466
7200 323.762
7300 362.242
7400 312.058
7500 302.745
7600 285.329
7700 279.738
7800 255.55
7900 295.704
8000 280.427
8100 346.333
8200 329.726
8300 307.16
8400 339.886
8500 324.705
8600 286.584
8700 331.434
8800 238.749
8900 266.534
9000 327.075
9100 232.882
9200 315.803
9300 312.233
9400 288.564
9500 345.523
9600 300.935
9700 319.008
9800 356.591
9900 299.875
10000 310.755
10100 292.754
10200 298.905
10300 269.879
10400 287.927
10500 281.758
10600 337.604
10700 299.777
10800 333.577
10900 360.111
11000 322.03
11100 342.298
11200 306.798
11300 315.809
11400 310.727
11500 287.785
11600 273.244
11700 322.909
11800 327.847
11900 321.602
12000 373.897
12100 403.928
12200 345.083
12300 311.207
12400 347.322
12500 304.462
12600 352.172
12700 250.065
12800 328.952
12900 256.282
13000 308.043
13100 322.402
13200 333.431
13300 352.401
13400 332.306
13500 369.951
13600 284.764
13700 355.194
13800 284.495
13900 332.333
14000 307.081
14100 292.368
14200 306.504
14300 335.837
14400 291.606
14500 296.41
14600 388.664
14700 325.214
14800 345.485
14900 348.399
15000 340.542
15100 266.49
15200 317.948
15300 310.315
15400 276.35
15500 299.249
15600 350.724
15700 318.833
15800 288.096
15900 416.202
16000 333.035
16100 350.263
16200 313.263
16300 350.513
16400 322.1
16500 279.62
16600 321.757
16700 326.02
16800 311.568
16900 297.328
17000 260.55
17100 320.262
17200 320.404
17300 295.751
17400 364.735
17500 370.503
17600 286.317
17700 366.824
17800 286.217
17900 297.21
18000 253.634
18100 338.324
18200 287.939
18300 297.687
18400 320.459
18500 305.862
18600 326.268
18700 338.597
18800 348.166
18900 333.016
19000 411.787
19100 391.337
19200 282.615
19300 350.49
19400 310.807
19500 301.883
19600 298.006
19700 344.085
19800 248.378
19900 332.273
20000 254.29
20100 320.224
20200 275.424
20300 329.33
20400 312.941
20500 360.097
20600 318.19
20700 334.576
20800 285.038
20900 298.382
21000 292.611
21100 291.273
21200 295.938
21300 291.683
21400 334.257
21500 284.593
21600 329.548
21700 319.043
21800 341.59
21900 314.898
22000 347.808
22100 382.015
22200 323.834
22300 324.847
22400 326.158
22500 293.804
22600 297.793
22700 292.28
22800 305.807
22900 307.468
23000 307.136
23100 349.114
23200 303.508
23300 354.018
23400 360.082
23500 373.802
23600 310.857
23700 355.547
23800 302.692
23900 323.051
24000 290.34
24100 300.106
24200 330.059
24300 257.927
24400 311.362
