#step pe ke etotal temp press vol
0 -1810.8913728785050807 8.8801719615000003216 -1802.0112009170049987 280.40816326530608649 3534.9741794311566991 2683.2073089264999908
1000 -1811.3248295506061822 8.9942736834126169043 -1802.3305558671936524 284.01114014521789386 3580.3952188590465084 2683.2073089264999908
2000 -1811.7057621551198281 8.4518606126839355142 -1803.2539015424358695 266.88342532690791131 3364.4741524737537475 2683.2073089264999908
3000 -1810.464738271076385 8.9100473040523908708 -1801.5546909670240439 281.35153350276965512 3546.8668054954073341 2683.2073089264999908
4000 -1810.7030482094842228 9.2159897867472526656 -1801.4870584227369363 291.01224390446361667 3668.65484984930481 2683.2073089264999908
5000 -1811.0677976854426561 8.2589932361723725762 -1802.808804449270383 260.79327447894280567 3287.6984775229911975 2683.2073089264999908
6000 -1810.2559208032898823 8.9668088879977698724 -1801.2891119152920965 283.14388747599889484 3569.4621712721568656 2683.2073089264999908
7000 -1810.9834897832522529 9.7907213856446393407 -1801.1927683976075514 309.16047714995204387 3897.4411133376379439 2683.2073089264999908
8000 -1810.2549648381314 8.3735278916182576125 -1801.8814369465130767 264.40992205097700207 3333.2918569537719122 2683.2073089264999908
9000 -1811.4990303607069109 9.502825063234345393 -1801.9962052974726703 300.06960826499067707 3782.8367936819108763 2683.2073089264999908
10000 -1811.4311864923547546 8.4617770082655496822 -1802.9694094840892831 267.19655420361306142 3368.4216213387726384 2683.2073089264999908
11000 -1810.6342881551749997 8.7524722048245671147 -1801.8818159503505285 276.37580281395099746 3484.1401027348479147 2683.2073089264999908
12000 -1810.8996315492922804 9.7266869680826211209 -1801.1729445812095491 307.13846975052598509 3871.9506145434665996 2683.2073089264999908
13000 -1811.6635310307606233 9.4386672729315925778 -1802.2248637578290982 298.04370513879530336 3757.2971832877801717 2683.2073089264999908
14000 -1810.8749107354585703 8.6948535346104698363 -1802.1800572008480685 274.55638472671444106 3461.2035523681383893 2683.2073089264999908
15000 -1811.415166803136799 8.1665683840900058499 -1803.2485984190468571 257.87478561128955334 3250.906457383583529 2683.2073089264999908
16000 -1810.0662962078649798 8.9479342646091630797 -1801.1183619432558771 282.54788567562047774 3561.9486561494227317 2683.2073089264999908
17000 -1810.4531116612033657 8.1348240018349500247 -1802.3182876593684796 256.87239692324118323 3238.2698133973945005 2683.2073089264999908
18000 -1810.273737589584016 8.566479432416489459 -1801.7072581571674164 270.50273054489088054 3410.1010356003521338 2683.2073089264999908
19000 -1810.75484761602047 9.5565328815838483933 -1801.1983147344367353 301.76553383508820616 3804.2165318133552319 2683.2073089264999908
20000 -1810.6236525674844415 8.1392181662078435522 -1802.4844344012765305 257.01115094357220414 3240.0190202444800889 2683.2073089264999908
21000 -1811.5645676960241417 8.1672702855550198819 -1803.3972974104690365 257.89694947269350678 3251.1858667876003892 2683.2073089264999908
22000 -1810.8834631994384381 9.2590373335849189829 -1801.6244258658534818 292.37155131361743088 3685.7910007277728255 2683.2073089264999908
23000 -1810.6341737339853353 8.7934305977403361965 -1801.8407431362450097 277.6691412512699344 3500.4446137303525575 2683.2073089264999908
24000 -1809.9544365658489369 8.4608412061137041604 -1801.4935953597353091 267.1670044872656149 3368.049101926066669 2683.2073089264999908
25000 -1810.1171801166128716 9.2200135723828875456 -1800.8971665442300036 291.13930251823296658 3670.256618191990583 2683.2073089264999908
26000 -1809.4613884302025326 8.5531215602782246776 -1800.9082668699243186 270.08093056087443529 3404.7836010612882092 2683.2073089264999908
