#step pe ke etotal temp press vol
0 -1811.764152788937281 8.8801719615000003216 -1802.883980827437199 280.40816326530608649 3534.9741794311566991 2683.2073089264999908
1000 -1812.0143272030450134 8.8463017636390404164 -1803.1680254394059375 279.33864794366587603 3521.4913014632743398 2683.2073089264999908
2000 -1811.918782520403056 8.9908707641152645351 -1802.9279117562878128 283.9036865560252636 3579.0406018648063764 2683.2073089264999908
3000 -1810.7044467777386672 9.4036854463502841384 -1801.3007613313884576 296.93908804558378733 3743.3717937513624747 2683.2073089264999908
4000 -1811.6232244530986009 9.3370371660845954409 -1802.286187287013945 294.83454300578972607 3716.8407816421208736 2683.2073089264999908
5000 -1811.0890428258553584 8.7783824223353335015 -1802.3106604035199325 277.19396675643974959 3494.4543117705634359 2683.2073089264999908
6000 -1812.5223777850542319 9.6585130191530463861 -1802.8638647659010985 304.98574884773660187 3844.8122719279485864 2683.2073089264999908
7000 -1811.6559306206049769 9.6506453313762445845 -1802.0052852892288229 304.73731178050383051 3841.6803423590849889 2683.2073089264999908
8000 -1811.4252019732953158 8.8047728472905948394 -1802.6204291260046375 278.02729415387966583 3504.9596793699211048 2683.2073089264999908
9000 -1810.8872320011787451 8.661907286998806299 -1802.225324714180033 273.5160448752652087 3448.0884758672204953 2683.2073089264999908
10000 -1811.3619768684543487 8.3613154843521311221 -1803.000661384102159 264.02429227878462825 3328.4304033083226386 2683.2073089264999908
11000 -1809.3582446813841216 8.6482956016734409133 -1800.7099490797106682 273.0862302615866497 3442.6700046515370559 2683.2073089264999908
12000 -1810.4448461452116135 7.8617725851908950574 -1802.5830735600206935 248.25028391122964422 3129.5748791462801819 2683.2073089264999908
13000 -1811.7423676287826311 9.0602594462698569089 -1802.6821081825128203 286.09476494940844304 3606.6624993713726326 2683.2073089264999908
14000 -1810.8617898341422006 8.1255806614556504996 -1802.7362091726865856 256.5805210328380781 3234.5902709612596482 2683.2073089264999908
15000 -1810.8591196768345526 8.817321823426219396 -1802.0417978534082977 278.42355172234863403 3509.9551126577052855 2683.2073089264999908
16000 -1810.9098239889312936 7.8348330818154421351 -1803.0749909071157617 247.39961832800207731 3118.8509371717559588 2683.2073089264999908
17000 -1811.5188291832455434 9.2157623433881514785 -1802.3030668398573653 291.00506195181122848 3668.5643103411521224 2683.2073089264999908
18000 -1811.1538648261234812 8.2552746421895086826 -1802.8985901839339476 260.67585286670544065 3286.2181983380605743 2683.2073089264999908
19000 -1811.2391853920544236 8.3870463532240542293 -1802.8521390388302734 264.83679295004162668 3338.6732181401662274 2683.2073089264999908
20000 -1812.5728928050325521 8.6864532913858969465 -1803.8864395136465646 274.29113121768369865 3457.8596258058437343 2683.2073089264999908
21000 -1811.230816246935774 8.4626558771075508503 -1802.7681603698281378 267.22430614341840283 3368.771477025920376 2683.2073089264999908
22000 -1812.4322094485801244 8.6460381124945175912 -1803.7861713360855447 273.0149457868042191 3441.7713547163289149 2683.2073089264999908
23000 -1812.4592874512272829 9.5008663570449467528 -1802.958421094182313 300.00775842612193856 3782.0570817760335558 2683.2073089264999908
24000 -1810.7198845875063853 9.1648707494644803262 -1801.5550138380419867 289.39806397478446343 3648.3056406610799058 2683.2073089264999908
25000 -1811.3362899558817389 8.9836741217001510051 -1802.3526158341815062 283.67643901058943356 3576.1757986575798896 2683.2073089264999908
26000 -1811.354356238715809 8.2940608424375472651 -1803.0602953962782067 261.90060022731347544 3301.6580138044164414 2683.2073089264999908
27000 -1811.4733885179689423 9.5479937183925702726 -1801.925394799576452 301.49589366633131249 3800.8173046896031337 2683.2073089264999908
28000 -1811.1653487009616583 8.8279174960868811439 -1802.337431204874747 278.75813005283794155 3514.1729847249957857 2683.2073089264999908
29000 -1811.7011903159964277 9.709943845377402738 -1801.9912464706189894 306.60977410077384775 3865.2855964894702083 2683.2073089264999908
30000 -1811.9410894572283723 8.426798388924158445 -1803.5142910683041464 266.0920383850456119 3354.4975085242858768 2683.2073089264999908
31000 -1811.562346460419576 8.8821841898190658782 -1802.6801622706004764 280.47170316627489228 3535.7751971571487957 2683.2073089264999908
32000 -1812.015470986220862 8.8344566668847317459 -1803.1810143193361 278.96461669303516828 3516.7760649384772478 2683.2073089264999908
33000 -1811.6301252258922432 8.0852083691706795321 -1803.5449168567215565 255.30568982737045758 3218.5190719562669983 2683.2073089264999908
34000 -1812.1389516978006213 9.2325390201053636474 -1802.9064126776952435 291.53481713272043407 3675.2426854074378753 2683.2073089264999908
35000 -1811.0762929418128806 9.2038673977604457122 -1801.8724255440524757 290.62945662906901134 3663.8292302276163355 2683.2073089264999908
