# Time-averaged data for fix myat4
# TimeStep c_Twater
45500 318.964
45600 316.062
45700 319.365
45800 299.117
45900 346.962
46000 348.381
46100 345.445
46200 340.557
46300 367.95
46400 384.475
46500 326.845
46600 318.314
46700 293.778
46800 284.087
46900 283.889
47000 313.41
47100 304.532
47200 354.72
47300 363.999
47400 349.497
47500 326.75
47600 343.104
47700 324.529
47800 319.336
47900 334.059
48000 295.753
48100 279.936
48200 291.083
48300 300.526
48400 298.57
48500 280.054
48600 337.519
48700 321.335
48800 325.623
48900 339.441
49000 337.44
49100 349.961
49200 347.777
49300 281.302
49400 302.691
49500 293.732
49600 275.724
49700 324.143
49800 348.94
49900 351.047
50000 353.677
50100 336.888
50200 353.021
50300 362.828
50400 309.671
50500 317.289
50600 304.681
50700 314.28
50800 313.073
50900 320.149
51000 361.034
51100 345.088
51200 335.723
51300 332.391
51400 315.126
51500 323.433
51600 315.687
51700 300.096
51800 325.321
51900 318.254
52000 321.418
52100 317.221
52200 288.475
52300 293.666
52400 317.476
52500 344.795
52600 317.567
52700 364.339
52800 326.508
52900 350.198
53000 316.779
53100 348.934
53200 345.404
53300 302.461
53400 307.869
53500 334.212
53600 320.861
53700 330.49
53800 335.586
53900 308.739
54000 345.134
54100 343.398
54200 339.771
54300 352.749
54400 327.544
54500 337.124
54600 326.256
54700 307.157
54800 324.056
54900 300.256
55000 314.907
55100 315.839
55200 333.182
55300 325.38
55400 340.014
55500 340.844
55600 338.98
55700 353.86
55800 332.248
55900 330.109
56000 325.158
56100 332.924
56200 319.062
56300 321.245
56400 321.858
56500 308.833
56600 345.737
56700 351.949
56800 347.655
56900 341.035
57000 361.335
57100 341.628
57200 348.009
57300 343.012
57400 343.783
57500 304.148
57600 332.271
57700 284.408
57800 321.552
57900 324.671
58000 356.081
58100 362.994
58200 372.225
58300 360.521
58400 311.604
58500 336.906
58600 333.122
58700 341.222
58800 302.034
58900 329.643
59000 346.104
59100 322.374
59200 298.106
59300 320.097
59400 320.684
59500 282.604
59600 317.849
59700 315.304
59800 313.852
59900 332.64
60000 314.416
60100 348.188
60200 327.903
60300 301.613
60400 322.391
60500 364.77
60600 365.618
60700 322.458
60800 367.501
60900 354.992
61000 339.242
61100 328.069
61200 321.99
61300 285.377
61400 301.39
61500 346.66
61600 332.213
61700 314.475
61800 331.876
61900 341.128
62000 343.024
62100 368.909
62200 323.242
62300 344.389
62400 337.401
62500 310.553
62600 326.382
62700 315.888
62800 305.728
62900 364.533
63000 326.183
63100 307.949
63200 343.202
63300 313.374
63400 303.766
63500 301.251
63600 311.995
63700 355.43
63800 330.022
63900 380.219
64000 338.955
64100 316.736
64200 311.202
64300 326.964
64400 298.39
64500 331.985
64600 344.831
64700 306.465
64800 346.023
64900 357.196
65000 307.618
65100 340.86
65200 331.543
65300 330.343
65400 328.857
65500 317.833
65600 346.222
65700 324.829
65800 315.643
65900 337.537
66000 347.417
66100 333.266
66200 322.435
66300 270.044
66400 305.956
66500 329.054
66600 324.525
66700 366.445
66800 335.598
66900 346.198
67000 343.577
67100 338.993
67200 323.087
67300 327.508
67400 296.371
67500 322.82
67600 295.036
67700 317.371
67800 326.271
67900 339.822
68000 342.64
68100 372.479
68200 384.63
68300 344.628
68400 307.5
68500 331.72
68600 339.249
68700 326.559
68800 311.15
68900 348.463
69000 343.787
69100 373.738
69200 330.555
