#step pe ke etotal temp press vol
19000 -1811.3749737142841241 9.0932927104081677783 -1802.2816810038759741 287.13785251165836598 3619.8122149734490449 2683.2073089264999908
20000 -1811.8317288725097569 8.0023055481768334829 -1803.8294233243329927 252.68787703442200154 3185.5175340484643129 2683.2073089264999908
21000 -1811.5338698227390068 8.5491377558420076355 -1802.9847320668970951 269.95513442881633637 3403.1977482333263652 2683.2073089264999908
22000 -1811.268805553864695 8.95171180062113514 -1802.3170937532436255 282.66716849349586482 3563.452398680771239 2683.2073089264999908
23000 -1810.7472697077178054 9.6998599321398426554 -1801.0474097755779894 306.29135553841604178 3861.2714430387327411 2683.2073089264999908
24000 -1811.390044962592583 8.7987200981878466166 -1802.5913248644046689 277.83616719530658656 3502.550231457701102 2683.2073089264999908
25000 -1812.1956819741301388 9.005499643847310054 -1803.1901823302828234 284.36562099987122565 3584.8639927125263966 2683.2073089264999908
26000 -1811.0976329581553728 8.5495080308079014486 -1802.5481249273475441 269.96682655860161049 3403.3451454289433968 2683.2073089264999908
27000 -1810.8723815577250207 9.4750101393586447784 -1801.397371418366447 299.19129962984663962 3771.7643687187755859 2683.2073089264999908
28000 -1811.6600474593979015 9.4910160095263300661 -1802.1690314498716816 299.69671514146534719 3778.1359049916536605 2683.2073089264999908
29000 -1811.6524899411815568 8.476674967085154222 -1803.1758149740965109 267.66698532669477117 3374.3521258359664898 2683.2073089264999908
30000 -1811.561145388998284 8.4193699597052003014 -1803.1417754292931477 265.8574717345048839 3351.540436792275159 2683.2073089264999908
31000 -1811.1130807620966152 8.654397028786430468 -1802.4586837333101812 273.27889432006077186 3445.098830061181161 2683.2073089264999908
32000 -1811.1877490113797649 8.260603570012088781 -1802.9271454413676565 260.84412380440591051 3288.3395111165232265 2683.2073089264999908
33000 -1811.551514351091555 8.3876075689415703351 -1803.1639067821499793 264.85451439386349648 3338.8966240695904162 2683.2073089264999908
34000 -1811.4298603942752379 8.6802724249336762341 -1802.7495879693415191 274.09595871237979736 3455.3991775836875604 2683.2073089264999908
35000 -1809.8027858202856351 8.5004301307517806663 -1801.302355689533897 268.41709938312351369 3383.8084618792049696 2683.2073089264999908
36000 -1811.4603468611569497 8.7311467095368353597 -1802.7292001516200344 275.70241011499410888 3475.6509568565320478 2683.2073089264999908
37000 -1811.4967329836954377 8.0991752227537308073 -1803.3975577609417087 255.7467195480558928 3224.0789267651643968 2683.2073089264999908
38000 -1810.7382244086311402 9.185168364681702613 -1801.553056043949482 290.0389994236027178 3656.3856132120604343 2683.2073089264999908
39000 -1809.9521770003480015 9.4795117609214347709 -1800.4726652394265329 299.33344681343834282 3773.5563515834114696 2683.2073089264999908
40000 -1811.5201335849924362 9.5211673815637141161 -1801.9989662034286084 300.64880153006083674 3790.1384114846214288 2683.2073089264999908
41000 -1811.4769605971250712 8.6239270723289589426 -1802.8530335247960465 272.31674802806821845 3432.9695030850220974 2683.2073089264999908
42000 -1811.061972222915756 8.4697046466250593966 -1802.5922675762906238 267.44688432346424634 3371.5774157339983503 2683.2073089264999908
43000 -1811.0050286504963424 8.860242656936058836 -1802.1447859935603901 279.77885791940087756 3527.0408221321108613 2683.2073089264999908
44000 -1812.058949366320121 8.8622166372359671982 -1803.1967327290842604 279.84119006709113364 3527.8266142790571394 2683.2073089264999908
45000 -1811.1715679025810459 8.7689508367172592784 -1802.4026170658637511 276.89614666789753983 3490.6998336168144306 2683.2073089264999908
46000 -1811.5069812668893974 9.918742344951816392 -1801.5882389219375455 313.20298017967087389 3948.4030527616623658 2683.2073089264999908
47000 -1810.8379491109244555 9.248270103832972211 -1801.5896790070914903 292.03155574469280964 3681.5048360766659243 2683.2073089264999908
48000 -1811.2361793310292342 8.1408619975529532553 -1803.0953173334762596 257.06305801589002158 3240.6733883564379539 2683.2073089264999908
49000 -1810.8259744116012371 8.3863409180575576585 -1802.4396334935436244 264.81451750535455858 3338.3924020580402612 2683.2073089264999908
50000 -1810.6253642576546099 8.8843364748780189188 -1801.7410277827766549 280.53966562272518104 3536.6319679655475738 2683.2073089264999908
51000 -1810.7210879961421597 9.2405534913884377346 -1801.4805345047536775 291.78788916575905432 3678.4330458160297894 2683.2073089264999908
52000 -1812.386409239450586 8.8002290086514882717 -1803.5861802307990729 277.88381388655039927 3503.1508909439330637 2683.2073089264999908
53000 -1811.5552508153200506 8.1336349684408340011 -1803.4216158468791491 256.83485095323624137 3237.7964889657387175 2683.2073089264999908
54000 -1810.8999841762088181 8.2124323583372902391 -1802.6875518178715083 259.32302702310971654 3269.1637575161885252 2683.2073089264999908
55000 -1810.3490548501681587 9.3791811834588028063 -1800.9698736667094181 296.16531976954581751 3733.6172600573149793 2683.2073089264999908
56000 -1811.4433701692669274 8.228697784080695854 -1803.2146723851863044 259.83663849113202104 3275.6386163668589688 2683.2073089264999908
57000 -1811.0888214946749031 8.7807099601137377221 -1802.3081115345612488 277.26746314774868551 3495.3808462998472351 2683.2073089264999908
58000 -1812.253559069850553 8.5873416976530734246 -1803.6662173721974796 271.16149588208327259 3418.4057811903594484 2683.2073089264999908
59000 -1810.9422358087235807 9.3191381941128366151 -1801.6230976146107423 294.26934923739224814 3709.7156489270282691 2683.2073089264999908
60000 -1811.4434929797685072 9.2705240522245482282 -1802.1729689275439341 292.73426609995811987 3690.3635758956324935 2683.2073089264999908
61000 -1810.5449350415228764 8.0938035709349556157 -1802.4511314705878249 255.57709951966748463 3221.9406066332358023 2683.2073089264999908
62000 -1809.9096012229217649 8.9330382535554981871 -1800.9765629693663413 282.07751605691862551 3556.0189270090954778 2683.2073089264999908
63000 -1811.8442242006508422 8.9134115657449619619 -1802.9308126349058057 281.45776640524582035 3548.206033864818437 2683.2073089264999908
64000 -1811.4076954569300142 9.494519873871977822 -1801.9131755830580914 299.80735626077625966 3779.5307056828783061 2683.2073089264999908
