# Time-averaged data for fix myat2
# TimeStep c_Tsurface_inf
0 309.409
100 316.471
200 336.088
300 339.988
400 298.067
500 301.007
600 348.475
700 342.427
800 319.614
900 286.669
1000 289.468
1100 267.534
1200 368.171
1300 284.265
1400 375.893
1500 346.503
1600 288.433
1700 433.444
1800 284.627
1900 272.432
2000 325.056
2100 344.191
2200 299
2300 254.15
2400 350.234
2500 244.033
2600 384.955
2700 353.745
2800 407.322
2900 327.596
3000 311.764
3100 306.661
3200 381.373
3300 313.195
3400 306.03
3500 293.926
3600 342.09
3700 281.844
3800 342.692
3900 306.465
4000 300.507
4100 285.956
4200 349.71
4300 287.987
4400 289.804
4500 314.279
4600 282.152
4700 321.939
4800 255.07
4900 341.477
5000 278.747
5100 330.982
5200 397.973
5300 322.867
5400 348.653
5500 265.466
5600 384.348
5700 317.718
5800 351.475
5900 298.383
6000 289.398
6100 282.43
6200 231.37
6300 319.513
6400 229.248
6500 263.411
6600 219.02
6700 353.842
6800 222.393
6900 331.642
7000 249.367
7100 290.603
7200 238.457
7300 209.259
7400 239.55
7500 294.947
7600 211.377
7700 271.18
7800 357.539
7900 261.139
8000 282.037
8100 326.77
8200 294.983
8300 244.468
8400 301.729
8500 256.599
8600 269.027
8700 267.54
8800 257.124
8900 208.015
9000 317.962
9100 295.402
9200 380.474
9300 318.343
9400 325.213
9500 385.381
9600 234.884
9700 324.904
9800 187.861
9900 296.622
10000 220.053
10100 218.805
10200 314.734
10300 239.682
10400 328.31
10500 396.614
10600 372.853
10700 559.021
10800 269.264
10900 396.97
11000 326.049
11100 298.78
11200 292.047
11300 323.91
11400 282.246
11500 340.539
11600 309.08
11700 326.527
11800 284.805
11900 296.232
12000 371.242
12100 302.118
12200 303.509
12300 323.885
12400 258.931
12500 274.842
12600 320.131
12700 228.943
12800 259.694
12900 390.439
13000 239.757
13100 400.114
13200 267.906
13300 360.867
13400 439.491
13500 303.778
13600 449.394
13700 258.316
13800 352.803
13900 360.93
14000 388.407
14100 426.711
14200 338.208
14300 315.88
14400 296.073
14500 291.693
14600 292.51
14700 318.742
14800 213.899
14900 344.647
15000 339.098
15100 403.116
15200 351.035
15300 339.446
15400 252.969
15500 358.023
15600 230.261
15700 328.762
15800 407.912
15900 287.929
16000 459.572
16100 438.603
16200 394.756
16300 434.691
16400 308.291
16500 452.627
16600 388.964
16700 327.276
16800 380.326
16900 366.24
17000 262.214
17100 375.697
17200 339.415
17300 396.213
17400 287.542
17500 293.8
17600 328.316
17700 320.821
17800 325.345
17900 351.963
18000 323.076
18100 223.208
18200 386.193
18300 260.68
18400 272.737
18500 378.401
18600 309.335
18700 437.003
18800 364.367
18900 297.862
19000 244.237
19100 207.151
19200 358.868
19300 308.156
19400 280.289
19500 183.867
19600 390.136
19700 273.575
19800 382.942
19900 390.06
20000 273.367
20100 335.651
20200 350.387
20300 407.162
20400 342.414
20500 372.89
20600 293.497
20700 338.399
20800 259.259
20900 302.037
21000 250.037
21100 267.697
21200 266.247
21300 360.468
21400 411.576
21500 199.279
21600 301.908
21700 360.862
21800 288.578
21900 312.88
22000 374.223
22100 280.601
22200 367.847
22300 263.315
22400 451.362
22500 321.393
22600 372.241
22700 364.806
22800 313.649
22900 249.531
23000 412.293
23100 336.983
23200 292.038
23300 441.434
23400 251.969
23500 324.205
23600 275.393
23700 283.691
23800 380.24
23900 167.165
24000 426.032
24100 282.325
24200 327.711
24300 487.418
24400 301.926
24500 307.017
24600 291.089
24700 195.38
24800 348.599
24900 297.419
25000 272.852
25100 427.328
25200 267.521
25300 397.401
25400 318.338
25500 385.12
25600 316.955
25700 363.964
25800 435.377
25900 296.265
26000 301.607
26100 275.264
26200 304.22
26300 298.853
26400 309.97
26500 371.524
26600 413.246
26700 224.012
26800 378.414
26900 399.809
27000 327.365
27100 295.365
27200 320.186
27300 373.604
27400 356.759
27500 369.283
27600 343.749
27700 433.397
27800 316.09
27900 358.207
28000 373.937
28100 462.509
28200 387.013
28300 398.066
28400 430.905
28500 372.823
28600 382.511
28700 404.567
28800 339.734
28900 289.637
29000 344.935
29100 215.566
29200 312.67
29300 293.629
29400 340.339
29500 324.488
29600 540.411
29700 325.528
29800 429.832
29900 394.01
30000 370.828
30100 369.67
30200 386.343
30300 478.376
30400 357.491
30500 424.117
30600 345.536
30700 361.328
30800 316.832
30900 316.725
31000 368.855
31100 347.995
31200 416.212
31300 304.665
31400 287.924
31500 259.524
31600 370.655
31700 370.608
31800 333.187
31900 434.225
32000 363.089
32100 436.655
32200 484.979
32300 383.83
32400 404.439
32500 256.817
32600 312.748
32700 272.705
32800 193.361
32900 302.794
33000 263.502
33100 239.003
33200 392.672
33300 369.852
33400 317.941
33500 312.57
33600 438.62
33700 375.758
33800 273.984
33900 391.587
34000 297.545
34100 297.997
34200 318.601
34300 315.635
34400 269.877
34500 322.007
34600 294.234
34700 310.004
34800 311.167
34900 400.037
35000 194.87
35100 330.877
35200 279.406
35300 209.141
35400 261.677
35500 238.279
35600 307.515
35700 281.205
35800 331.066
35900 256.861
36000 338.089
36100 322.715
36200 298.598
36300 289.003
36400 297.834
36500 197.581
36600 311.869
36700 156.396
36800 311.694
36900 284.532
37000 284.721
37100 365.523
37200 307.092
37300 344.03
37400 280.025
37500 341.17
37600 346.161
37700 361.59
37800 376.988
37900 345.609
38000 401.728
38100 248.161
38200 396.695
38300 353.272
38400 231.583
38500 350.53
38600 412.037
38700 327.547
38800 357.514
38900 371.628
39000 377.449
39100 273.432
39200 541.917
39300 387.296
39400 244.597
39500 430.669
39600 356.715
39700 324.073
39800 360.117
39900 366.431
40000 346.905
40100 323.526
40200 472.314
40300 378.606
40400 403.866
40500 482.761
40600 312.3
40700 412.178
40800 330.684
40900 238.821
41000 279.077
41100 282.919
41200 247.446
41300 285.245
41400 325.654
41500 264.001
41600 337.664
41700 409.997
41800 254.178
41900 355.835
42000 275.673
42100 315.287
42200 423.781
42300 373.517
42400 441.387
42500 317.509
42600 335.783
42700 341.923
42800 426.721
42900 232.549
43000 355.803
43100 446.56
43200 267.278
43300 306.421
43400 431.943
43500 363.602
