# Time-averaged data for fix myat4
# TimeStep c_Twater
0 330
100 337.535
200 341.37
300 334.268
400 315.284
500 320.883
600 296.424
700 303.75
800 362.234
900 331.695
1000 333.469
1100 325.713
1200 344.019
1300 358.35
1400 296.472
1500 319.438
1600 323.76
1700 335.446
1800 316.846
1900 354.096
2000 352.253
2100 308.382
2200 292.359
2300 306.184
2400 309.974
2500 352.702
2600 328.574
2700 309.178
2800 332.603
2900 328.698
3000 350.005
3100 333.792
3200 311.549
3300 336.185
3400 362.707
3500 322.145
3600 307.085
3700 324.396
3800 309.108
3900 332.305
4000 342.81
4100 345.004
4200 298.523
4300 357.098
4400 320.625
4500 354.776
4600 339.228
4700 326.007
4800 328.833
4900 332.552
5000 303.893
5100 332.021
5200 316.316
5300 309.502
5400 302.126
5500 292.886
5600 305.282
5700 350.439
5800 338.138
5900 363.196
6000 355.387
6100 324.825
6200 337.935
6300 324.565
6400 337.461
6500 318.959
6600 337.865
6700 325.655
6800 321.416
6900 381.627
7000 365.347
7100 333.776
7200 348.799
7300 349.007
7400 340.482
7500 323.405
7600 349.587
7700 333.214
7800 317.182
7900 319.179
8000 314.645
8100 348.122
8200 341.694
8300 334.234
8400 326.074
8500 337.654
8600 306.756
8700 288.055
8800 284.339
8900 285.904
9000 320.688
9100 348.857
9200 306.894
9300 374.926
9400 349.102
9500 312.318
9600 289.561
9700 319.443
9800 314.354
9900 320.194
10000 321.774
10100 329.914
10200 356.83
10300 347.77
10400 349.606
10500 344.95
10600 359.519
10700 341.527
10800 309.263
10900 311.71
11000 311.637
11100 320.154
11200 310.327
11300 298.596
11400 316.952
11500 340.926
11600 314.209
11700 344.641
11800 337.527
11900 352.817
12000 322.419
12100 319.126
12200 302.14
12300 287.318
12400 313.086
12500 299.259
12600 324.134
12700 341.512
12800 346.361
12900 334.456
13000 335.889
13100 333.399
13200 327.947
13300 315.551
13400 351.563
13500 317.658
13600 296.468
13700 307.11
13800 289.956
13900 297.816
14000 323.285
14100 340.047
14200 313.29
14300 332.65
14400 317.237
14500 355.053
14600 324.019
14700 328.205
14800 311.599
14900 292.541
15000 363.858
15100 346.508
15200 345.26
15300 380.009
15400 372.338
15500 343.315
15600 332.916
15700 343.427
15800 341.557
15900 281.191
16000 306.829
16100 327.105
16200 328.213
16300 322.079
16400 322.425
16500 349.795
16600 365.061
16700 310.593
16800 321.725
16900 313.316
17000 307.666
17100 306.686
17200 296.679
17300 311.563
17400 377.053
17500 366.766
17600 357.44
17700 327.65
17800 326.298
17900 323.887
18000 310.878
18100 278.686
18200 313.617
18300 307.466
18400 345.271
18500 325.642
18600 316.198
18700 359.786
18800 350.768
18900 326.754
19000 331.626
19100 331.799
19200 334.673
19300 333.805
19400 359.243
19500 321.698
19600 312.228
19700 313.447
19800 359.425
19900 356.602
20000 340.388
20100 359.719
20200 362.581
20300 345.948
20400 332.863
20500 316.28
20600 328.522
20700 310.818
20800 328.377
20900 278.597
21000 323
21100 366.688
21200 333.792
21300 357.241
21400 323.733
21500 349.313
21600 338.666
21700 361.413
21800 343.159
21900 336.029
22000 324.981
22100 315.494
22200 318.839
22300 323.41
22400 344.784
22500 331.741
22600 347.989
22700 337.49
22800 344.089
22900 323.716
23000 340.67
23100 341.057
23200 311.219
23300 345.254
23400 321.494
23500 309.418
23600 312.995
23700 360.415
23800 353.113
23900 369.615
24000 310.747
24100 315.008
24200 335.905
24300 326.389
24400 330.668
24500 323.086
24600 319.52
24700 342.424
24800 341.455
24900 333.6
25000 330.458
25100 321.473
25200 320.971
25300 304.472
25400 300.099
25500 308.217
25600 300.342
25700 332.79
25800 304.381
25900 320.685
26000 314.616
26100 387.107
26200 367.373
26300 334.033
26400 332.629
26500 324.467
26600 336.932
26700 325.914
26800 339.449
26900 283.871
27000 316.458
27100 306.851
27200 343.504
27300 322.348
27400 307.55
27500 365.966
27600 333.185
27700 333.183
27800 313.567
27900 296.803
28000 299.56
28100 304.877
28200 320.885
28300 309.164
28400 292.745
28500 336.102
28600 323.024
28700 373.841
28800 337.791
28900 327.053
29000 347.643
29100 312.168
29200 369.823
29300 307.24
29400 292.457
29500 273.546
29600 307.425
29700 366.139
29800 324.086
29900 337.033
30000 342.467
30100 324.677
30200 308.966
30300 282.042
30400 282.82
30500 300.972
30600 329.253
30700 325.849
30800 356.5
30900 327.926
31000 341.062
31100 322.291
31200 289.753
31300 325.805
31400 345.994
31500 354.899
31600 333.069
31700 405.268
31800 337.052
31900 350.199
32000 336.975
32100 301.979
32200 327.426
32300 344.063
32400 293.04
32500 321.59
32600 325.733
32700 353.011
32800 338.908
32900 342.182
33000 344.99
33100 383.555
33200 375.267
33300 330.301
33400 318.187
33500 303.681
33600 287.351
33700 318.895
33800 326.101
33900 339.661
34000 357.482
34100 335.688
34200 336.431
34300 363.015
34400 296.095
34500 348.281
34600 324.259
34700 320.943
34800 304.462
34900 312.284
35000 345.3
35100 334.21
35200 345.3
35300 336.883
35400 314.187
35500 351.603
35600 358.155
35700 320.01
35800 336.032
35900 326.845
36000 326.077
36100 305.033
36200 350.532
36300 356.68
36400 372.818
36500 358.759
36600 371.052
36700 340.749
36800 331.949
36900 307.364
37000 327.827
37100 291.934
37200 314.503
37300 348.217
37400 308.01
37500 327.619
37600 371.538
37700 342.858
37800 323.826
37900 334.096
38000 301.165
38100 327.991
38200 331.625
38300 321.79
38400 324.61
38500 295.002
38600 329.86
38700 321.541
38800 319.435
38900 340.833
39000 335.662
39100 352.407
39200 344.927
39300 331.09
39400 348.885
39500 354.291
39600 337.103
39700 345.528
39800 316.909
39900 314.41
40000 328.8
40100 330.601
40200 333.709
40300 369.088
40400 380.601
40500 353.751
40600 365.635
40700 329.201
40800 339.514
40900 351.256
41000 336.915
41100 304.88
41200 328.083
41300 337.865
41400 333.227
41500 361.028
41600 351.716
41700 362.924
41800 311.24
41900 321.404
42000 310.853
42100 344.604
42200 337.517
