# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
0 282.881
100 347.749
200 371.199
300 329.51
400 453.343
500 348.974
600 353.736
700 362.977
800 395.631
900 360.892
1000 282.419
1100 326.812
1200 226.873
1300 276.817
1400 282.364
1500 436.491
1600 290.546
1700 418.368
1800 355.044
1900 281.182
2000 357.749
2100 300.26
2200 248.827
2300 328.605
2400 324.46
2500 274.256
2600 438.53
2700 316.591
2800 403.115
2900 336.196
3000 319.164
3100 260.914
3200 258.988
3300 200.115
3400 228.971
3500 231.04
3600 242.646
3700 310.466
3800 242.945
3900 337.735
4000 276.087
4100 323.776
4200 313.931
4300 266.35
4400 321.757
4500 270.141
4600 289.276
4700 313.752
4800 293.409
4900 283.967
5000 257.817
5100 335.856
5200 246.71
5300 292.918
5400 239.047
5500 321.092
5600 249.975
5700 318.353
5800 334.953
5900 364.926
6000 295.719
6100 193.454
6200 284.28
6300 280.988
6400 329.557
6500 372.935
6600 340.668
6700 309.534
6800 267.54
6900 311.337
7000 294.96
7100 334.108
7200 275.565
7300 278.116
7400 437.646
7500 341.958
7600 286.096
7700 294.306
7800 334.174
7900 224.537
8000 157.325
8100 264.312
8200 192.338
8300 185.48
8400 165.487
8500 242.695
8600 275.89
8700 296.5
8800 264.737
8900 338.086
9000 316.423
9100 345.396
9200 283.68
9300 352.734
9400 250.802
9500 346.505
9600 336.229
9700 307.642
9800 380.045
9900 291.305
10000 372.745
10100 243.851
10200 291.68
10300 348.715
10400 355.298
10500 236.364
10600 274.562
10700 273.473
10800 256.946
10900 413.731
11000 286.033
11100 430.073
11200 331.262
11300 274.477
11400 307.572
11500 330.319
11600 360.882
11700 296.326
11800 312.301
11900 374.725
12000 316
12100 356.258
12200 342.845
12300 385.086
12400 297.984
12500 411.849
12600 277.75
12700 338.568
12800 420.04
12900 301.201
13000 410.668
13100 252.055
13200 343.009
13300 343.678
13400 275.668
13500 357.028
13600 240.32
13700 286.493
13800 336.506
13900 273.268
14000 249.098
14100 394.29
14200 364.448
14300 295.454
14400 351.425
14500 364.924
14600 204.434
14700 353.927
14800 341.634
14900 362.723
15000 284.97
15100 268.269
15200 377.779
15300 407.643
15400 331.8
15500 372.507
15600 434.753
15700 299.068
15800 273.341
15900 254.937
16000 382.426
16100 313.601
16200 202.503
16300 313.357
16400 355.179
16500 292.913
16600 340.309
16700 460.14
16800 282.953
16900 277.361
17000 345.907
17100 379.365
17200 248.077
17300 330.955
17400 244.264
17500 225.53
17600 268.797
17700 192.489
17800 320.766
17900 244.358
18000 201.518
18100 323.018
18200 205.592
18300 249.099
18400 331.659
18500 249.317
18600 251.395
18700 232.019
18800 182.904
18900 274.257
19000 277.129
19100 320.273
19200 315.785
19300 269.605
19400 265.727
19500 266.895
19600 224.173
19700 313.133
19800 237.816
19900 261.799
20000 239.597
20100 242.408
20200 288.729
20300 239.426
20400 282.264
20500 342.151
20600 353.841
20700 219.848
20800 160.065
20900 304.344
21000 190.838
21100 216.809
21200 286.635
21300 214.238
21400 155.139
21500 321.423
21600 314.309
21700 291.039
21800 307.304
21900 235.074
22000 289.504
22100 250.735
22200 254.892
22300 288.533
22400 240.22
22500 313.299
22600 295.136
22700 422.134
22800 322.64
22900 323.312
23000 317.109
23100 292.538
23200 313.81
23300 257.899
23400 254.46
23500 354.211
23600 259.044
23700 332.635
23800 337.764
23900 381.235
24000 314.225
24100 402.602
24200 326.528
24300 311.07
24400 250.648
24500 289.212
24600 291.311
24700 233.296
24800 198.354
24900 255.968
25000 245.709
25100 193.701
25200 309.486
25300 256.498
25400 246.446
25500 337.018
25600 289.925
25700 300.075
25800 270.397
25900 304.196
26000 276.548
26100 293.348
26200 292.244
26300 259.726
26400 224.562
26500 297.809
26600 210.867
26700 318.259
26800 339.767
26900 308.141
27000 256.363
27100 336.479
27200 341.174
27300 314.661
27400 258.695
27500 320.808
27600 336.58
27700 274.629
27800 354.606
27900 374.64
28000 369.514
28100 330.755
28200 313.188
28300 340.826
28400 248.452
28500 223.674
28600 311.03
28700 276.729
28800 275.979
28900 210.128
29000 259.547
29100 267.435
29200 292.56
29300 330.495
29400 360.042
29500 295.826
29600 375.167
29700 269.867
29800 433.839
29900 371.594
30000 333.696
30100 400.178
30200 283.949
30300 293.053
30400 265.547
30500 307.934
30600 379.914
30700 438.813
30800 377.361
30900 458.919
31000 469.304
31100 413.311
31200 422.641
31300 378.955
31400 225.939
31500 254.285
31600 337.527
31700 312.077
31800 347.209
31900 321.183
32000 403.38
32100 222.287
32200 382.618
32300 522.194
32400 300.1
32500 423.377
32600 318.213
32700 259.78
32800 402.948
32900 322.478
33000 265.878
33100 457.783
33200 301.195
33300 335.784
33400 409.247
33500 294.377
33600 358.348
33700 353.682
33800 387.512
33900 348.917
34000 333.403
34100 438.524
34200 267.111
34300 509.387
34400 440.183
34500 229.644
34600 421.652
34700 351.32
34800 271.087
34900 399.155
35000 338.043
35100 266.428
35200 306.793
35300 289.472
35400 309.512
35500 341.921
35600 311.884
35700 259.821
35800 347.268
35900 409.796
36000 336.672
36100 399.699
36200 586.105
36300 417.73
36400 465.866
36500 429.98
36600 309.735
36700 352.569
36800 307.88
36900 357.266
37000 310.744
37100 221.787
37200 264.986
37300 204.16
37400 371.478
37500 293.656
37600 305.113
37700 353.686
37800 343.409
37900 228.492
38000 295.954
38100 403.146
38200 287.282
38300 261.933
38400 488.038
38500 309.015
38600 314.234
38700 313.611
38800 306.274
38900 308.747
39000 243.683
39100 347.052
39200 242.611
39300 341.184
39400 254.048
39500 345.133
39600 349.696
39700 347.167
39800 334.181
39900 409.482
40000 299.42
40100 286.978
40200 434.708
40300 279.565
40400 314.142
40500 319.827
40600 172.596
40700 225.212
40800 279.153
40900 236.112
41000 275.913
41100 390.754
41200 297.841
41300 314.34
41400 378.242
41500 292.607
41600 386.549
41700 247.595
41800 294.903
41900 283.218
42000 261.167
42100 288.63
42200 247.994
42300 492.804
42400 209.65
42500 358.58
42600 381.758
42700 324.121
42800 314.832
42900 313.294
43000 296.353
43100 272.509
43200 252.236
43300 287.231
43400 197.983
43500 335.368
43600 326.725
43700 263.879
43800 362.461
43900 322.389
44000 331.254
44100 282.333
44200 453.413
44300 324.288
44400 322.161
44500 326.188
44600 322.61
44700 244.261
44800 446.374
44900 238.208
45000 399.006
45100 334.228
45200 364.961
45300 340.672
45400 385.827
45500 434.89
45600 358.385
45700 275.859
45800 271.91
45900 290.719
46000 243.685
46100 340.752
46200 261.323
46300 330.212
46400 294.211
46500 324.232
46600 281.614
46700 276.871
46800 275.335
46900 359.07
47000 376.375
47100 338.947
47200 291.153
47300 230.595
47400 314.449
47500 216.358
47600 347.421
47700 339.052
47800 279.293
47900 401.776
48000 372.901
48100 372.994
48200 279.443
48300 408.888
48400 319.864
48500 263.257
48600 309.72
48700 302.054
48800 276.119
48900 236.76
49000 316.113
49100 213.293
49200 335.699
49300 241.466
49400 275.112
49500 201.956
49600 302.53
49700 160.812
49800 354.008
49900 257.661
50000 316.376
50100 261.487
50200 407
50300 398.507
50400 267.332
50500 405.086
50600 326.044
50700 349.851
50800 292.913
50900 475.572
51000 291.542
51100 256.755
51200 325.927
51300 186.303
51400 285.425
51500 308.753
51600 310.904
51700 295.483
51800 436.039
51900 254.249
52000 239.365
52100 326.29
52200 324.705
52300 329.557
52400 347.511
52500 428.567
52600 276.419
52700 288.37
52800 343.052
52900 283.75
53000 291.736
53100 365.029
53200 204.851
53300 275.448
53400 281.853
53500 274.208
53600 336.731
53700 236.733
53800 241.667
53900 234.781
54000 257.215
54100 309.056
54200 289.03
54300 314.966
54400 352.346
54500 315.274
54600 430.737
54700 311.036
54800 300.454
54900 266.872
55000 268.554
55100 246.745
55200 256.357
55300 316.237
55400 237.96
55500 317.168
55600 274.641
55700 219.014
55800 265.831
55900 305.18
56000 386.767
56100 278.578
56200 356.95
56300 253.935
56400 298.191
56500 221.06
56600 254.728
56700 251.867
56800 220.068
56900 400.101
57000 228.531
57100 351.623
57200 284.779
57300 278.858
57400 299.956
57500 315.704
57600 255.574
57700 253.336
57800 268.656
57900 205.514
58000 250.9
58100 271.73
58200 241.253
58300 319.111
58400 253.383
58500 226.953
58600 317.281
58700 313.778
58800 350.16
58900 402.407
59000 329.021
59100 295.874
59200 274.267
59300 340.315
59400 338.42
59500 296.686
59600 324.248
59700 335.905
59800 265.166
59900 393.917
60000 339.627
60100 285.375
60200 285.781
60300 211.426
60400 244.226
60500 157.737
60600 423.696
60700 272.78
60800 466.581
60900 351.804
61000 438.508
61100 311.201
61200 400.111
61300 331.289
61400 270.248
61500 384.669
61600 292.429
61700 285.083
61800 310.738
61900 361.716
62000 368.595
62100 296.436
62200 415.438
62300 350.58
62400 274.897
62500 511.085
62600 350.293
62700 374.813
62800 247.988
62900 427.317
63000 271.602
63100 346.539
63200 386.893
63300 395.301
63400 550.264
63500 294.287
63600 509.012
63700 341.828
63800 286.093
63900 329.24
64000 324.108
64100 347.757
64200 412.246
64300 352.146
64400 354.349
64500 440.161
64600 336.101
64700 369.543
64800 418.351
64900 243.23
65000 411.394
65100 277.677
65200 376.12
65300 419.881
65400 330.27
65500 402.729
65600 409.094
65700 239.462
65800 329.086
65900 241.499
66000 300.169
66100 342.57
66200 328.936
66300 436.42
66400 345.349
66500 394.921
66600 388.348
66700 327.86
66800 319.138
66900 416.532
67000 291.99
67100 447.467
67200 350.15
67300 331.781
67400 374.183
67500 284.474
67600 415.007
67700 234.043
67800 373.421
67900 389.106
68000 357.208
68100 308.371
68200 332.728
68300 385.727
68400 276.122
68500 272.329
68600 311.489
68700 304.478
68800 374.714
68900 418.525
69000 429.502
69100 333.872
69200 434.657
69300 277.466
69400 320.649
69500 324.889
69600 373.062
69700 362.391
69800 285.649
69900 434.592
70000 310.761
70100 364.242
70200 329.752
70300 329.208
70400 350.544
70500 289.667
70600 560.667
70700 281.05
70800 559.453
70900 383.662
71000 483.77
71100 446.391
71200 288.165
71300 330.319
71400 270.483
71500 424.139
71600 236.581
71700 361.803
71800 429.307
71900 329.645
72000 353.475
72100 200.664
72200 411.329
72300 313.888
72400 284.91
72500 350.722
72600 406.025
72700 341.537
72800 428.623
72900 404.479
73000 297.489
73100 344.789
73200 297.567
73300 359.046
73400 385.373
73500 319.393
73600 363.79
73700 274.013
73800 398.111
73900 291.948
74000 272.47
74100 316.669
74200 347.459
74300 375.842
74400 348.766
74500 336.296
74600 294.3
74700 292.503
74800 296.481
74900 515.481
75000 317.406
75100 307.342
75200 458.38
75300 342.198
75400 351.532
75500 354.245
75600 265.475
75700 295.133
75800 310.028
75900 381.072
76000 297.109
76100 488.271
76200 335.612
76300 328.971
76400 299.783
76500 260.406
76600 246.364
76700 245.134
76800 369.097
76900 367.438
77000 290.967
77100 477.404
77200 316.797
77300 408.814
77400 420.504
77500 330.223
77600 253.315
77700 339.597
77800 316.483
77900 354.007
78000 379.755
78100 290.411
78200 375.569
78300 263.778
78400 330.509
78500 311.915
78600 321.67
78700 285.636
78800 427.282
78900 251.727
79000 329.442
79100 328.331
79200 242.328
79300 333.194
79400 315.018
79500 385.993
79600 409.398
79700 411.262
79800 489.751
79900 454.616
80000 341.658
80100 339.981
80200 243.001
80300 338.101
80400 251.925
80500 336.649
80600 345.996
80700 268.446
80800 263.644
80900 271.13
81000 347.234
81100 303.447
81200 339.963
81300 314.698
81400 301.859
81500 463.779
81600 274.912
81700 297.863
81800 377.656
81900 331.273
82000 412.637
82100 305.629
82200 382.161
82300 325.87
82400 339.545
82500 223.674
82600 337.101
82700 274.382
82800 196.013
82900 257.672
83000 292.766
83100 303.895
83200 327.021
83300 320.297
83400 273.153
83500 276.538
83600 268.295
83700 276.969
83800 310.81
83900 308.796
84000 273.628
84100 340.581
84200 438.185
84300 389.922
84400 391.936
84500 425.51
84600 342.068
84700 340.624
84800 304.766
84900 308.77
85000 295.085
85100 356.374
85200 322.911
85300 343.179
85400 433.416
85500 264.127
85600 388.98
85700 372.436
85800 320.068
85900 382.134
86000 299.354
86100 341.137
86200 307.594
86300 278.3
86400 401.946
86500 387.138
86600 317.864
86700 475.392
86800 290.746
86900 392.42
87000 362.333
87100 404.401
87200 276.931
87300 397.609
87400 274.042
87500 296.586
87600 294.429
87700 300.784
87800 234.282
87900 393.53
88000 387.598
88100 341.562
88200 389.528
88300 322.818
88400 323.332
88500 371.908
88600 395.79
88700 265.41
88800 262.638
88900 309.045
89000 277.124
89100 372.711
89200 347.279
89300 341.1
89400 405.129
89500 346.065
89600 376.031
89700 383.316
89800 382.509
89900 325.337
90000 335.46
90100 310.3
90200 405.206
90300 241.552
90400 420.798
90500 399.843
90600 221.574
90700 426.579
90800 275.536
90900 308.612
91000 335.62
91100 318.454
91200 339.347
91300 280.16
91400 321.744
91500 389.656
91600 258.908
91700 383.748
91800 349.19
91900 286.357
92000 287.63
92100 362.698
92200 249.797
92300 341.303
92400 295.813
92500 328.999
92600 246.824
92700 326.729
92800 256.838
92900 310.315
93000 238.509
93100 316.207
93200 213.202
93300 265.031
93400 279.065
93500 239.989
93600 251.264
93700 220.656
93800 276.008
93900 309.254
94000 361.615
94100 316.549
94200 327.557
94300 253.564
94400 293.55
94500 269.563
94600 273.588
94700 384.815
94800 261.777
94900 337.543
95000 349.568
95100 267.52
95200 310.852
95300 330.179
95400 246.061
95500 363.306
95600 256.54
95700 364.759
95800 287.366
95900 286.279
96000 251.084
96100 304.259
96200 257.466
96300 373.301
96400 340.626
96500 277.529
96600 349.533
96700 294.221
96800 457.683
96900 232.831
97000 325.499
97100 386.184
97200 322.384
97300 237.569
97400 284.822
97500 289.038
97600 220.603
97700 303.368
97800 280.23
97900 253.854
98000 254.505
98100 381.618
98200 364.957
98300 312.166
98400 294.306
98500 366.172
98600 215.596
98700 341.929
98800 267.929
98900 275.693
99000 286.287
99100 362.612
99200 319.192
99300 327.59
99400 359.022
99500 223.445
99600 261.745
99700 306.319
99800 255.245
99900 230.682
100000 256.339
100100 222.779
100200 267.644
100300 300.014
100400 377.964
100500 299.486
