,Planar,Macroscopic
536,-0.9204415365474943,-2.7988627355854017
537,-0.3141021231857296,-2.0927721604664558
538,0.15268249468606035,-1.4473548679928894
539,0.5097263707776765,-0.8667849228290431
540,0.7964512150580253,-0.35392962216275997
541,1.0448975705689902,0.08969404401859604
542,1.2619119597800406,0.46417984588317285
543,1.4421846216873362,0.7715646771237028
544,1.588288986600896,1.0157934081490871
545,1.70046510599413,1.2030743660715273
546,1.781813329051293,1.342031177806628
547,1.8362982889538233,1.4421874739297678
548,1.864076918480102,1.5103102375257256
549,1.86457606280308,1.5512960894316596
550,1.8419831687129222,1.568419873875916
551,1.799291394920283,1.5640750637913747
552,1.7398496006387274,1.5411912311630227
553,1.6653851603073313,1.5034487262292544
554,1.5807810746843196,1.454207301535487
555,1.488711207030781,1.3959050375884303
556,1.3788922394133043,1.329789038647108
557,1.2474717050844846,1.2561077487483219
558,1.1046793350546438,1.1740746197733947
559,0.9666909890472447,1.0815830371896524
560,0.8500029724697036,0.9760637818202452
561,0.762819532879511,0.8545364435693478
562,0.7019433421130784,0.7135904103825503
563,0.6510243549471163,0.5512686706088025
564,0.591725348107493,0.36798039974718955
565,0.5100350707756707,0.16651390505439745
566,0.38748059693141057,-0.04810439336665594
567,0.1997275762957213,-0.26976120564739386
568,-0.05736342793641323,-0.49264040644011353
569,-0.3882006935958685,-0.712746572872708
570,-0.7971789967236262,-0.9272249088318164
571,-1.2564061556201305,-1.1331673773848356
572,-1.7184078008247134,-1.3274407118227234
573,-2.1376856974394762,-1.505622061735506
574,-2.4842371321656587,-1.662006976840028
575,-2.7423509159687978,-1.7910148511693897
576,-2.9071462792143086,-1.888062660039758
577,-2.9952200067394577,-1.9500745835056539
578,-3.0106070747942453,-1.9770408164200977
579,-2.944144901074835,-1.9706333995793406
580,-2.7949766777688994,-1.9321480822335937
581,-2.55623994348297,-1.8620158568981913
582,-2.2232031237739025,-1.7607502137809212
583,-1.8121066671528374,-1.6305530825995374
584,-1.3593799627352154,-1.4753772310076414
585,-0.9164870460904064,-1.3001336291501628
586,-0.5427556203963965,-1.1098512542292258
587,-0.2728671904622433,-0.9085003367517022
588,-0.10444328450018728,-0.6997177190775459
589,0.005973900417111558,-0.4874273135903536
590,0.10437377528614435,-0.2761326442116992
591,0.20586266382543578,-0.07088380897879687
592,0.3089281964884669,0.12345298579544413
593,0.4120339174658125,0.30247505967141425
594,0.5179364693625603,0.46358627472594005
595,0.629096507855969,0.6071441720364196
596,0.7474800433405676,0.7371271399277943
597,0.8770823976946257,0.8600088292720751
598,1.0083273710468819,0.9815431463187474
599,1.1382390907092677,1.1034374129682791
600,1.274859182162436,1.2242065279325876
601,1.4102906626146259,1.3419910288413834
602,1.5406219082462493,1.4562338727952067
603,1.6675551054982245,1.5680502352948498
604,1.796937801648349,1.6795873292149481
605,1.9390032177348107,1.7920671272197248
606,2.0831744223399133,1.905217723285987
607,2.2000707001086837,2.017384902418914
608,2.2782178446436947,2.126916656885967
609,2.3259836801837626,2.2328723698056394
610,2.365299387657285,2.335364766397283
611,2.4247284424593896,2.4356553158774616
612,2.52560415992433,2.5351356931523745
613,2.6537328719419464,2.6346327709016792
614,2.7841907725332877,2.733530948647551
615,2.896091622087316,2.829472502992582
616,2.9798989514538348,2.9198580057808994
617,3.045441923263365,3.0037974528008613
618,3.119722320812022,3.081701326752691
619,3.2155205532578326,3.152295784053257
620,3.3312686991946805,3.2118757241703944
621,3.458502504985716,3.2559434438761974
622,3.5771050010740555,3.280583575283304
623,3.665951195945352,3.2847243330192932
624,3.7101134725296356,3.2700636441752113
625,3.710980746467993,3.2399464045169686
626,3.6804875757766347,3.197694041105624
627,3.5966839115939506,3.145078400903459
628,3.4377383097657535,3.0811924431929785
629,3.217947397163837,3.0042000361394505
630,2.969126525252263,2.9123634460929915
631,2.728266511189741,2.804530489401653
632,2.5202983733398163,2.6808859267842426
633,2.353981308238945,2.5419727518176227
634,2.219356410049634,2.38796059728312
635,2.0983603996243954,2.2188522062001086
636,1.9697750820233826,2.0349496649507928
637,1.8296572262943305,1.8394013121369786
638,1.6782100783584173,1.6380345745280618
639,1.5175092845416263,1.436505833693464
640,1.3515028739606592,1.2373774260326447
641,1.1655140465461828,1.04004816851512
642,0.9378946909085886,0.842682109080375
643,0.66702970697379,0.6443724725523156
644,0.3702418332889497,0.4477697896210342
645,0.0768135609453049,0.2593099007794469
646,-0.18686296719474443,0.08792166330985193
647,-0.40956993785892726,-0.05835202943629282
648,-0.6151848126424871,-0.17436302793950226
649,-0.8236601241257017,-0.25864905211681855
650,-1.0322906964855947,-0.3121506409722648
651,-1.2155921492661241,-0.33572771344400265
652,-1.3194918827134283,-0.32809317019339546
653,-1.2939175995241785,-0.2855817683920666
654,-1.1152131924293271,-0.20557474441383153
655,-0.8032692431362757,-0.08916896766258506
656,-0.4099878946993539,0.0594665611670712
657,0.0003608493499336693,0.23466514574787992
658,0.3884742745626252,0.4323959327054442
659,0.7411267420549036,0.6503797856065505
660,1.075316469419518,0.8866272989534665
661,1.432234939397708,1.1377834931835327
662,1.8103682648971793,1.3979140646964923
663,2.1721175424677424,1.6582798050419199
664,2.4885765517390683,1.9076763741700071
665,2.7440045845956305,2.1360163588905223
666,2.9439693525936708,2.3373149840472767
667,3.1000492280942122,2.510995986793698
668,3.2201645437588913,2.660174262363033
669,3.305219346875065,2.789141805114744
670,3.3628584045198435,2.8997552552993615
671,3.3926657266935187,2.9900049364680745
