# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
45400 306.503
45500 319.912
45600 369.997
45700 272.508
45800 262.912
45900 245.574
46000 327.477
46100 315.216
46200 369.529
46300 307.239
46400 303.055
46500 215.588
46600 456.81
46700 284.197
46800 455.747
46900 374.378
47000 350.967
47100 346.856
47200 324.468
47300 447.253
47400 298.464
47500 300.474
47600 340.752
47700 241.451
47800 238.836
47900 325.031
48000 347.818
48100 265.938
48200 310.133
48300 347.149
48400 321.187
48500 213.331
48600 349.32
48700 301.476
48800 357.026
48900 360.409
49000 275.914
49100 371.757
49200 251.699
49300 393.455
49400 295.984
49500 360.945
49600 269.835
49700 478.472
49800 424.621
49900 381.012
50000 352.051
50100 294.835
50200 296.131
50300 240.49
50400 326.427
50500 387.736
50600 288.56
50700 252.77
50800 350.567
50900 360.314
51000 312.504
51100 371.472
51200 355.958
51300 310.456
51400 424.165
51500 512.502
51600 281.606
51700 511.553
51800 475.504
51900 239.823
52000 365.611
52100 367.68
52200 315.921
52300 311.094
52400 360.522
52500 277.707
52600 374.552
52700 220.841
52800 335.5
52900 317.94
53000 307.5
53100 372.048
53200 251.898
53300 274.365
53400 311.019
53500 252.763
53600 278.128
53700 315.216
53800 291.408
53900 460.712
54000 471.663
54100 435.512
54200 387.53
54300 443.076
54400 424.609
54500 386.917
54600 332.196
54700 410.504
54800 289.698
54900 304.465
55000 377.425
55100 291.615
55200 394.749
55300 409.479
55400 347.763
55500 391.278
55600 495.453
55700 470.09
55800 335.095
55900 411.098
56000 405.005
56100 347.666
56200 423.495
56300 348.733
56400 481.298
56500 284.64
56600 485.581
56700 344.962
56800 323.545
56900 314.046
57000 281.285
57100 330.279
57200 340.926
57300 392.948
57400 389.344
57500 319.148
57600 433.156
57700 261.22
57800 343.128
57900 389.579
58000 209.491
58100 366.149
58200 365.356
58300 212.172
58400 331.964
58500 411.494
58600 369.727
58700 261.645
58800 367.87
58900 466.347
59000 296.547
59100 524.501
59200 428.453
59300 244.936
59400 363.736
59500 346.097
59600 399.898
59700 378.694
59800 379.911
59900 356.547
60000 393.854
60100 397.178
60200 314.764
60300 316.858
60400 433.857
60500 208.159
60600 352.742
60700 339.814
60800 407.957
60900 360.454
61000 404.112
61100 366.789
61200 277.855
61300 334.597
61400 258.542
61500 315.823
61600 341.118
