#step pe ke etotal temp press vol
0 -1816.2265417514504406 8.8801719615000003216 -1807.3463697899503586 280.40816326530608649 -8210.2964312681906449 2683.2073089264999908
200 -1815.7498685609573386 8.5339244650838086415 -1807.2159440958735104 269.47474610556957941 -3918.7723872561109602 2683.2073089264999908
400 -1816.7038529849476163 9.5613392516378699071 -1807.14251373330967 301.91730402655122134 -2555.476100416283316 2683.2073089264999908
600 -1816.2305461522237238 8.4875658485272307274 -1807.7429803036964131 268.01088543074155268 -8613.6582483262372989 2683.2073089264999908
800 -1816.3740730124172842 8.3386124189524526429 -1808.0354605934649044 263.30740020768325849 -6828.5639397274871953 2683.2073089264999908
1000 -1816.0033401112441425 8.784355372993870148 -1807.2189847382503558 277.38257392876658969 -4705.3277052907769757 2683.2073089264999908
1200 -1815.7567046130802737 9.6372957291650678258 -1806.1194088839151846 304.3157729350189129 -8388.4958148769637774 2683.2073089264999908
1400 -1814.7589897807088164 8.9661936852975667733 -1805.7927960954111768 283.12446129146690055 -8603.3932630600120319 2683.2073089264999908
1600 -1815.3700259668685248 8.9471164669191960428 -1806.4229094999493554 282.52206217252165743 -3083.4212492854353513 2683.2073089264999908
1800 -1816.289438848163627 8.6899996874532252633 -1807.5994391607102898 274.40311535625238548 -444.41118658656603202 2683.2073089264999908
2000 -1816.7278048815608145 8.1643057910716656522 -1808.563499090489131 257.80333997316000705 -8868.2107098251071875 2683.2073089264999908
2200 -1816.122679931374023 8.0646174841356277341 -1808.0580624472383988 254.65549383142371198 -7642.2352823483270186 2683.2073089264999908
2400 -1815.8793241581427083 8.4291514531123148402 -1807.4501727050303543 266.16634082084379997 -4878.3633617619379947 2683.2073089264999908
2600 -1816.1243964202351435 9.4399709002801639457 -1806.6844255199550844 298.08486962885024241 -2298.137353307671674 2683.2073089264999908
2800 -1815.7197273456122275 9.2401383118559152763 -1806.4795890337563833 291.77477908966540099 -4979.3466643135534468 2683.2073089264999908
3000 -1815.2426576537536675 8.4773351832173506892 -1806.7653224705363755 267.68783289516414925 -4692.6148057109558067 2683.2073089264999908
3200 -1816.0008299930186695 8.4832057249114196651 -1807.5176242681072836 267.87320631146099004 -4101.2009893430486045 2683.2073089264999908
3400 -1817.4420752076698591 9.4389864831209102647 -1808.0030887245488884 298.05378480203495428 -7495.8676296652756719 2683.2073089264999908
