# Time-averaged data for fix myat1
# TimeStep c_Tmobile
0 310
100 296.109
200 317.07
300 317.395
400 361.625
500 270.128
600 322.328
700 288.735
800 317.889
900 286.583
1000 290.413
1100 295.135
1200 307.357
1300 337.997
1400 318.876
1500 393.194
1600 308.909
1700 342.793
1800 322.101
1900 282.58
2000 274.562
2100 321.508
2200 275.554
2300 283.625
2400 361.119
2500 306.333
2600 375.239
2700 312.203
2800 330.596
2900 295.214
3000 295.778
3100 302.008
3200 312.735
3300 313.921
3400 304.251
3500 326.093
3600 281.934
3700 376.744
3800 341.116
3900 335.102
4000 360.592
4100 325.063
4200 353.276
4300 277.533
4400 297.074
4500 315.729
4600 286.388
4700 304.129
4800 334.031
4900 355.068
5000 303.987
5100 395.748
5200 391.908
5300 334.075
5400 306.473
5500 368.694
5600 291.807
5700 266.867
5800 328.518
5900 331.317
6000 272.332
6100 312.355
6200 322.374
6300 305.819
6400 340.385
6500 329.768
6600 352.848
6700 297.633
6800 333.127
6900 312.99
7000 266.226
7100 305.27
7200 263.925
7300 295.004
7400 349
7500 332.677
7600 323.588
7700 369.348
7800 337.899
7900 311.439
8000 348.857
8100 267.299
8200 320.868
8300 287.414
8400 275.19
8500 323.306
8600 294.212
8700 355.248
8800 335.38
8900 323.874
9000 391.948
9100 317.545
9200 301.537
9300 303.314
9400 312.78
9500 347.853
9600 262.432
9700 262.803
9800 356.032
9900 266.491
10000 316.783
10100 404.77
10200 318.966
10300 319.768
10400 349.648
10500 289.258
10600 298.087
10700 307.182
10800 285.154
10900 312.565
11000 264.171
11100 350.353
11200 295.034
11300 326.013
11400 284.235
11500 320.039
11600 301.901
11700 261.372
11800 301.015
11900 292.885
12000 273.659
12100 307.582
12200 330.91
12300 308.224
12400 352.845
12500 296.341
12600 339.68
12700 311.003
12800 257.987
12900 319.668
13000 260.973
13100 237.449
13200 251.843
13300 300.744
13400 251.457
13500 298.858
13600 300.998
13700 334.995
13800 287.141
13900 331.076
14000 319.811
14100 321.45
14200 305.889
14300 345.201
14400 286.034
14500 336.588
14600 312.42
14700 260.792
14800 303.277
14900 282.477
15000 275.69
15100 334.758
15200 312.127
15300 315.165
15400 371.548
15500 298.719
15600 339.669
15700 333.601
15800 287.102
15900 329.926
16000 290.927
16100 302.037
16200 347.547
16300 278.803
16400 317.864
16500 336.035
16600 262.607
16700 354.41
16800 312.379
16900 317.784
17000 313.943
17100 290.489
17200 289.662
17300 298.96
17400 271.546
17500 314.427
17600 308.212
17700 278.652
17800 369.114
17900 321.838
18000 311.746
18100 374.373
18200 269.913
18300 325.677
18400 293.006
18500 304.692
18600 283.131
18700 231.685
18800 279.647
18900 227.579
19000 279.112
19100 281.167
19200 310.913
19300 260.072
19400 368.884
19500 244.27
19600 355.635
19700 340.437
19800 276.673
19900 364.466
20000 276.973
20100 290.198
20200 289.383
20300 283.708
20400 263.455
20500 311.21
20600 340.082
20700 306.249
20800 331.974
20900 319.013
21000 339.951
21100 297.709
21200 342.301
21300 267.673
21400 302.447
21500 266.382
21600 275.735
21700 255.878
21800 270.326
21900 306.686
22000 270.354
22100 313.712
22200 342.088
22300 303.893
22400 322.57
22500 320.056
22600 291.867
22700 316.514
22800 259.509
22900 261.696
23000 293.214
23100 279.552
23200 308.012
23300 326.467
23400 284.013
23500 343.005
23600 290.442
23700 287.059
23800 342.322
23900 346.965
24000 358.441
24100 398.629
24200 320.776
24300 332.718
24400 321.138
24500 278.985
24600 310.443
24700 301.821
24800 321.568
24900 315.836
25000 318.187
25100 349.276
25200 313.082
25300 315.887
25400 348.519
25500 314.789
25600 275.279
25700 337.064
25800 258.323
25900 286.308
26000 291.253
26100 313.263
26200 306.672
26300 370.389
26400 309.584
26500 368.114
26600 289.095
26700 306.205
26800 314.015
26900 291.335
27000 259.049
27100 333.944
27200 263.069
27300 390.481
27400 285.791
27500 357.62
27600 369.201
27700 334.183
27800 283.305
27900 341.845
28000 290.136
28100 311.646
28200 302.103
28300 274.125
28400 350.731
28500 279.299
28600 296.177
28700 366.546
28800 300.82
28900 332.606
29000 362.11
29100 352.27
29200 284.194
29300 350.605
29400 256.321
29500 325.529
29600 280.693
29700 305.636
29800 298.801
29900 339.289
30000 309.47
30100 386.868
30200 269.589
30300 388.829
30400 356.657
30500 353.948
30600 359.969
30700 303.317
30800 270.858
30900 334.337
31000 246.98
31100 297.575
31200 344.498
31300 326.586
31400 299.334
31500 391.345
31600 355.843
31700 358.099
31800 297.596
31900 329.253
32000 283.749
32100 299.797
32200 277.822
32300 304.728
32400 330.21
32500 343.081
32600 319.838
32700 346.155
32800 336.235
32900 303.187
33000 267.582
33100 329.302
33200 258.931
33300 283.023
33400 323.449
33500 322.139
33600 284.389
33700 347.488
33800 320.019
33900 409.02
34000 285.53
34100 308.58
34200 381.859
34300 295.157
34400 299.368
34500 290.553
34600 306.377
34700 278.846
34800 273.691
34900 334.127
35000 330.332
35100 308.361
35200 352.17
35300 355.591
35400 324.291
35500 306.467
35600 324.063
35700 290.16
35800 306.514
35900 328.223
36000 295.628
36100 320.921
36200 301.45
36300 260.8
36400 315.152
36500 250.241
36600 269.752
36700 307.442
36800 306.775
36900 304.288
37000 336.876
37100 319.237
37200 334.109
37300 288.095
37400 332.209
37500 322.949
37600 272.14
37700 320.423
37800 223.44
37900 258.702
38000 286.681
38100 226.841
38200 290.311
38300 331.992
38400 293.855
38500 280.245
38600 370.495
38700 291.228
38800 331.636
38900 337.493
39000 316.702
39100 276.375
39200 268.94
39300 276.961
39400 284.457
39500 275.128
39600 326.272
39700 310.687
39800 331.54
39900 286.505
40000 352.342
40100 314.703
40200 305.793
40300 273.262
40400 298.621
40500 258.498
40600 252.571
40700 251.919
40800 266.581
40900 278.211
41000 295.773
41100 310.162
41200 355.734
41300 274.67
41400 336.13
41500 346.221
41600 297.905
41700 290.43
41800 319.231
41900 278.242
42000 267.866
42100 273.737
42200 294.898
42300 316.189
42400 318.368
42500 307.865
42600 347.867
42700 304.401
42800 325.712
42900 282.546
43000 283.423
43100 291.575
43200 266.255
43300 271.689
43400 222.068
43500 250.34
43600 263.254
43700 296.091
43800 276.885
43900 336.547
44000 303.747
44100 334.918
44200 330.81
44300 344.027
44400 266.968
44500 285.709
44600 309.723
44700 300.803
44800 243.846
44900 342.467
45000 343.033
45100 316.547
45200 336.606
45300 348.696
45400 305.756
45500 339.057
45600 276.299
45700 291.076
45800 303.046
45900 286.072
46000 263.73
46100 307.644
46200 322.22
46300 322.616
46400 302.629
46500 342.454
46600 295.4
46700 340.254
46800 295.645
46900 354.822
47000 289.988
47100 277.929
47200 300.64
47300 302.586
47400 268.594
47500 354.038
47600 273.002
47700 331.335
47800 332.993
47900 339.437
48000 327.269
48100 323.258
48200 274.144
48300 306.193
48400 251.78
48500 307.525
48600 299.657
48700 262.702
48800 323.233
48900 332.787
49000 315.998
49100 327.65
49200 348.428
49300 333.673
49400 337.058
49500 273.785
49600 335.933
49700 309.46
49800 244.13
49900 291.881
50000 325.486
50100 301.462
50200 347.794
50300 340.154
50400 375.534
50500 314.194
50600 331.473
50700 280.216
50800 298.519
50900 329.335
51000 291.855
51100 305.395
51200 341.703
51300 297.642
51400 340.015
51500 331.554
51600 380.889
51700 301.189
51800 323.113
51900 313.956
52000 310.665
52100 286.3
52200 293.64
52300 314.805
52400 319.409
52500 287.658
52600 311.563
52700 329.048
52800 361.69
52900 359.538
53000 337.59
53100 375.549
53200 326.423
53300 291.876
53400 329.872
53500 287.491
53600 269.056
53700 335.399
53800 307.112
53900 326.994
54000 338.809
54100 365.463
54200 359.777
54300 312.592
54400 308.409
54500 326.307
54600 294.655
54700 286.501
54800 287.921
54900 333.872
55000 287.118
55100 352.922
55200 307.609
55300 366.414
55400 375.091
55500 332.01
55600 340.826
55700 330.211
55800 300.832
55900 309.144
56000 318.857
56100 283.329
56200 281.371
56300 291.135
56400 301.782
56500 321.495
56600 355.022
56700 353.006
56800 309.856
56900 351.171
57000 278.06
57100 315.48
57200 288.892
57300 311.879
57400 308.837
57500 326.464
57600 299.99
57700 337.198
57800 285.653
57900 255.673
58000 272.26
58100 255.304
58200 287.784
58300 317.842
58400 304.636
58500 340.542
58600 331.43
58700 271.859
58800 325.498
58900 328.476
59000 258.129
59100 372.318
59200 323.107
