#step pe ke etotal temp press vol
0 -1811.6419155071425848 8.8801719615000003216 -1802.7617435456425028 280.40816326530608649 3534.9741794311566991 2683.2073089264999908
1000 -1812.5681939788883028 8.574445110580159124 -1803.9937488683081028 270.75426184323970347 3413.2719726894442829 2683.2073089264999908
2000 -1813.1023874574734691 8.3302613564201912766 -1804.7721261010533453 263.04369967168713629 3316.0685322904987515 2683.2073089264999908
3000 -1813.5551094054667374 8.6353891603332861848 -1804.9197202451334761 272.67868505568583259 3437.5322734134947495 2683.2073089264999908
4000 -1812.1010050249824417 9.0781740405239670366 -1803.022830984458551 286.66045202080943 3613.7938509260293358 2683.2073089264999908
5000 -1811.4613938367037917 8.9714742595791268087 -1802.4899195771247378 283.29120537499341026 3571.3193389203793231 2683.2073089264999908
6000 -1812.976476864041615 8.105423023144103567 -1804.8710538408975026 255.9440056185856065 3226.5660197126835556 2683.2073089264999908
7000 -1813.3381688643289635 7.5346519555915234534 -1805.8035169087374925 237.92083361343875936 2999.3563446171679061 2683.2073089264999908
8000 -1813.3369022605002101 10.119544362892353817 -1803.2173578976078261 319.54368228260204887 4028.3373098543106607 2683.2073089264999908
9000 -1813.8345272539479538 9.7195726631921672833 -1804.1149545907558149 306.91382216758609047 3869.1185878438277541 2683.2073089264999908
10000 -1812.8175634301946957 8.5995858652974401792 -1804.2179775648971827 271.54812854806709765 3423.27987784739571 2683.2073089264999908
11000 -1813.071873944887102 8.4246849054770240883 -1804.6471890394100228 266.02530116260533077 3353.6561836663145186 2683.2073089264999908
12000 -1813.117406174878397 8.6232601376990043462 -1804.4941460371794619 272.29568831037192922 3432.7040131027920324 2683.2073089264999908
13000 -1813.215530397054863 9.3101202749777485224 -1803.9054101220772282 293.98459144755344141 3706.1258410457239734 2683.2073089264999908
14000 -1814.0189421934578604 8.5889887075808069028 -1805.4299534858771494 271.21350332413709339 3419.0614146164957674 2683.2073089264999908
15000 -1813.0323398193759203 8.4388936363857691703 -1804.593446182990192 266.47396861563731818 3359.3123237841700757 2683.2073089264999908
16000 -1813.5710115599333676 8.8774530372339075512 -1804.6935585226995045 280.32230810812916388 3533.8918437378688395 2683.2073089264999908
17000 -1813.2319258304539744 8.3792152631925027606 -1804.8527105672615107 264.58951152557904152 3335.5558572176128109 2683.2073089264999908
18000 -1813.3972622200410569 9.2219162537196499585 -1804.1753459663214016 291.19938326680784257 3671.0140280063842511 2683.2073089264999908
19000 -1813.519184948184602 8.9972941989193504497 -1804.5218907492651397 284.10651861412924291 3581.5976104761421084 2683.2073089264999908
20000 -1813.9088167476811577 9.8611162069294451271 -1804.0477005407517481 311.38332628231592025 3925.4635296474039023 2683.2073089264999908
21000 -1811.340655309322301 8.9079966506034367058 -1802.4326586587187649 281.28678025591727874 3546.050491687021804 2683.2073089264999908
22000 -1812.2810449513381172 8.6698666392847645312 -1803.6111783120534255 273.7673764221049737 3451.2568947827376178 2683.2073089264999908
23000 -1813.939907141380445 9.1981488125532138156 -1804.7417583288272454 290.44888152518723246 3661.5528045977880538 2683.2073089264999908
24000 -1812.6200010530833424 9.208388622422759795 -1803.4116124306606253 290.77222281746782073 3665.6290165954906115 2683.2073089264999908
