# Time-averaged data for fix myat1
# TimeStep c_Tmobile
0 310
100 297.481
200 313.108
300 316.723
400 371.961
500 270.515
600 330.589
700 299.567
800 311.041
900 252.734
1000 299.277
1100 289.041
1200 317.6
1300 317.498
1400 325.154
1500 365.147
1600 285.761
1700 329.108
1800 344.89
1900 281.013
2000 327.308
2100 307.697
2200 288.331
2300 312.844
2400 288.781
2500 290.945
2600 338.951
2700 274.879
2800 356.613
2900 282.184
3000 308.477
3100 339.626
3200 365.422
3300 308.98
3400 383.015
3500 334.476
3600 316.314
3700 294.746
3800 307.196
3900 323.031
4000 296.59
4100 279.53
4200 338.718
4300 290.142
4400 273.995
4500 422.4
4600 332.163
4700 339.76
4800 317.671
4900 332.851
5000 269.307
5100 332.668
5200 288.182
5300 332.915
5400 286.142
5500 318.923
5600 332.24
5700 308.958
5800 312.288
5900 338.283
6000 395.286
6100 352.04
6200 297.804
6300 342.39
6400 315.04
6500 291.381
6600 304.868
6700 290.224
6800 275.287
6900 334.934
7000 306.172
7100 380.471
7200 354.75
7300 342.518
7400 358.908
7500 299.376
7600 377.873
7700 273.492
7800 298.619
7900 315.778
8000 317.351
8100 280.103
8200 310.429
8300 290.107
8400 246.477
8500 293.951
8600 272.821
8700 327.844
8800 283.189
8900 369.473
9000 352.819
9100 290.562
9200 334.723
9300 296.714
9400 309.146
9500 244.383
9600 274.921
9700 361.292
9800 307.471
9900 350.331
10000 348.1
10100 329.748
10200 291.807
10300 276.127
10400 311.501
10500 290.984
10600 272.401
10700 343.403
10800 381.401
10900 280.851
11000 398.304
11100 281.102
11200 331.485
11300 317.838
11400 282.02
11500 333.144
11600 346.345
11700 282.933
11800 302.263
11900 318.984
12000 251.608
12100 299.935
12200 284.903
12300 304.025
12400 371.876
12500 336.394
12600 343.514
12700 338.518
12800 291.068
12900 310.635
13000 303.229
13100 275.65
13200 313.609
13300 296.064
13400 319.948
13500 364.939
13600 307.894
13700 388.929
13800 350.374
13900 343.446
14000 324.706
