# Time-averaged data for fix myat2
# TimeStep c_Tsurface_inf
0 309.409
100 321.541
200 326.905
300 346.542
400 299.371
500 301.418
600 330.417
700 348.118
800 308.431
900 267.433
1000 330.039
1100 287.733
1200 407.115
1300 276.67
1400 450.211
1500 397.553
1600 302.948
1700 440.014
1800 315.443
1900 260.537
2000 385.08
2100 407.352
2200 345.21
2300 393.116
2400 281.495
2500 290.417
2600 405.516
2700 251.245
2800 423.321
2900 333.424
3000 291.762
3100 409.705
3200 461.949
3300 338.464
3400 440.699
3500 348.572
3600 335.286
3700 304.795
3800 212.293
3900 388.103
4000 214.502
4100 324.268
4200 277.582
4300 219.323
4400 279.439
4500 317.033
4600 329.016
4700 392.688
4800 294.353
4900 262.176
5000 268.746
5100 367.109
5200 333.902
5300 396.845
5400 249.589
5500 413.774
5600 374.871
5700 297.338
5800 369.924
5900 313.1
6000 456.531
6100 408.726
6200 272.68
6300 450.911
6400 263.344
6500 313.988
6600 352.098
6700 261.965
6800 338.476
6900 315.91
7000 367.373
7100 421.164
7200 319.564
7300 329.102
7400 372.63
7500 249.368
7600 346.996
7700 326.948
7800 235.881
7900 346.212
8000 403.993
8100 375.017
8200 407.056
8300 383.597
8400 278.611
8500 301.368
8600 319.802
8700 430.93
8800 236.038
8900 450.731
9000 494.301
9100 352.112
9200 467.169
9300 434.765
9400 348.916
9500 315.186
9600 303.934
9700 467.681
9800 356.103
9900 393.126
10000 426.765
10100 293.27
10200 348.176
10300 287.127
10400 298.073
10500 240.327
10600 325.988
10700 357.859
10800 416.219
10900 269.145
11000 415.988
11100 429.355
11200 342.662
11300 421.839
11400 311.141
11500 338.731
11600 469.118
11700 297.633
11800 347.187
11900 426.709
12000 216.184
12100 332.769
12200 277.607
12300 356.487
12400 435.418
12500 306.809
12600 358.157
12700 418.746
12800 281.625
12900 345.848
13000 401.24
13100 321.604
13200 440.542
13300 392.05
13400 368.251
13500 416.148
13600 391.153
13700 352.467
13800 395.463
13900 379.133
14000 275.073
14100 472.265
14200 234.535
14300 433.405
14400 405.691
14500 359.953
14600 299.313
14700 336.733
14800 488.589
14900 227.204
15000 536.691
15100 393.584
15200 380.602
15300 398.452
15400 514.477
15500 385.084
15600 384.202
15700 445.925
15800 234.122
15900 382.673
16000 315.409
16100 503.111
16200 441.163
16300 353.207
16400 348.011
16500 282.051
16600 287.334
16700 354.395
16800 380.263
16900 368.17
17000 273.356
17100 383.512
17200 310.703
17300 326.536
17400 510.571
17500 338.415
17600 417.543
17700 310
17800 463.368
17900 309.753
18000 361.845
18100 339.989
18200 222.952
18300 312.992
18400 277.739
18500 312.394
18600 268.811
18700 357.406
18800 336.465
18900 484.593
19000 529.113
19100 333.652
19200 384.043
19300 288.017
19400 245.056
19500 312.332
19600 266.273
19700 273.952
19800 212.88
19900 290.448
20000 251.934
20100 300.249
20200 223.074
20300 346.042
20400 339.244
20500 391.832
20600 363.903
20700 257.197
20800 419.01
20900 192.664
