,Planar,Macroscopic
0,5.188431619194556,4.66917418127062
1,5.127826800564469,4.700291280614849
2,5.005206514957259,4.712991612524355
3,4.838383931641572,4.709452029130501
4,4.666776172750984,4.694467050010928
5,4.528747840982293,4.674580315118709
6,4.429255112063946,4.655980623385918
7,4.354470679711442,4.642543841273347
8,4.291908778380416,4.636973974945544
9,4.2388260966748,4.640533053534752
10,4.208680211869766,4.652518059387077
11,4.221500345938583,4.671801756026316
12,4.28573647603824,4.698348138812507
13,4.41002188485617,4.731923113045627
14,4.591400664137968,4.770580020428167
15,4.81976251000919,4.810805260690015
16,5.059477759320989,4.849964652034738
17,5.263181564532899,4.8879382580329
18,5.404161724536414,4.926852191059847
19,5.474933340070737,4.969033223648917
20,5.483041405108709,5.015690032164209
21,5.44273346783774,5.0667558613972
22,5.362600505636721,5.121570317862331
23,5.252802165695528,5.179098922645873
24,5.134124156268971,5.238463347652228
25,5.037995587678375,5.299009800875989
26,4.992359572865454,5.3612931889373625
27,4.998084683278041,5.42755714351783
28,5.048502765145026,5.500594195797963
29,5.140685272132424,5.582105029080181
30,5.272396692410589,5.672054945013581
31,5.44553677095992,5.7701328612180705
32,5.659960314252365,5.876468628607968
33,5.909598668036905,5.990965114145542
34,6.180578744425697,6.111893652730655
35,6.455932746981314,6.2354912912884215
36,6.718828665578825,6.35631357352308
37,6.942128339150652,6.467075156425322
38,7.102139891909906,6.559396893531206
39,7.208135959518551,6.625020749587688
40,7.27664431865488,6.656899986620014
41,7.3137389053718636,6.64962984886926
42,7.310837850801004,6.600219611873136
43,7.262753081718172,6.508528978475379
44,7.167160653089307,6.376736104998887
45,6.991793175518392,6.208389915472222
46,6.710294033050945,6.007786914458341
47,6.321914681149098,5.780364240552992
48,5.8462229589924535,5.531986242324234
49,5.314674291446333,5.268566703362298
50,4.770576048322147,4.996666092421755
51,4.259167266877279,4.724364132239684
52,3.8083070218488153,4.460852010559158
53,3.4257013355013544,4.213704411268267
54,3.1079746473289807,3.9873321458238036
55,2.8485202088543717,3.785246502360999
56,2.6313359237922618,3.6112847527158274
57,2.466584258203699,3.4701613981691812
58,2.382433321725097,3.3647154833947455
59,2.412303622094597,3.296282025726735
60,2.567619660551548,3.2649600239225225
61,2.8140962944821317,3.269428255523983
62,3.0924598750889807,3.3068770250563344
63,3.354251593187885,3.373866817860396
64,3.5789825394378525,3.4665947211058277
65,3.781694299309473,3.5811757585724227
66,3.9481964930526114,3.7143921901202126
67,4.082872053422149,3.8628917002278484
68,4.206780015846316,4.022043609497662
69,4.339595435703573,4.184908545991332
70,4.482384873431136,4.343837636612915
71,4.631517605974459,4.4934041146543935
72,4.7770769057467515,4.632113241911836
73,4.910978883253086,4.76164730399441
74,5.029231691652478,4.882893012284622
75,5.139575440141149,4.994288012862155
76,5.247167688581749,5.094784671551003
77,5.34387247898065,5.184383821082585
78,5.428343291740038,5.26327508091774
79,5.506292899228755,5.330103645675456
80,5.589224165722953,5.383361264751854
81,5.685864710674191,5.422035407618651
82,5.761405288661674,5.446080177893084
83,5.7868043097050545,5.456362125434974
84,5.757136349451891,5.454579027659658
85,5.6956567449906395,5.442337706979861
86,5.626822692879086,5.420135519242162
87,5.542509601342469,5.388556401343416
88,5.441022016806307,5.34842956296616
89,5.327652177576815,5.3008038841941145
90,5.209882770686514,5.246478132843033
91,5.096053939007115,5.185839063045557
92,4.997135931696801,5.1210431007930985
93,4.919231667904785,5.055650527839831
94,4.847528309303176,4.9920629487467565
95,4.77544835680323,4.929486895349779
96,4.706060200949431,4.865238638965142
97,4.64903068133193,4.798331020495507
98,4.611360641403491,4.729992505351596
99,4.594361454319605,4.662676157271552
100,4.595077968117433,4.596894084911306
101,4.6097379965462295,4.531114240072783
102,4.612559925776542,4.461615798536329
103,4.569287783845059,4.3831176381678985
104,4.47035407795564,4.291596352866427
105,4.3381724688890255,4.184972625506766
106,4.210928744215919,4.062948057225963
107,4.115957912136,3.9261637692374958
108,4.025805468202095,3.775648407749424
109,3.9120167319136896,3.6119291362623636
110,3.7461639840406313,3.4344758509629902
111,3.5062647812730194,3.2419103293657727
112,3.2001451738766944,3.0351995978634116
113,2.856221264329354,2.8196940452316954
114,2.5096179718949982,2.6029292910647635
115,2.1869134975395266,2.3912257277749855
116,1.9020841346181574,2.1885314172149997
117,1.6474145675525422,1.9966249576000057
118,1.4009188327286919,1.817990043481385
119,1.1435586077963167,1.6559627838141668
120,0.8917667587340531,1.5140336730093915
121,0.6901878364741658,1.3953451978692615
122,0.5685885029508652,1.3029032592659664
123,0.5275083296730191,1.2394350320836043
124,0.5624311541361806,1.2065905414749976
125,0.6616416390661033,1.2051269443467296
126,0.8103770140669186,1.2339447996885058
127,0.9955260579037589,1.2912861008071441
128,1.1914399895546757,1.3761223435809646
129,1.3698722287506808,1.488244201012006
130,1.5361902790173805,1.6263290163452202
131,1.7137931750468407,1.7866335640543116
132,1.9184171409400839,1.9638405264043304
133,2.1605687492307,2.1537063058887362
134,2.4208055307701257,2.3529481488746553
135,2.679557987688036,2.5583333028234985
136,2.9279712026574614,2.766366466248368
137,3.161752041555066,2.9734447491812888
138,3.3772934347319077,3.176943648933233
139,3.5756696952378033,3.376387985250501
140,3.7583138252512107,3.5716314363178245
141,3.9450923603923167,3.7610858062393655
142,4.148784327882729,3.942105907420605
143,4.358574410145281,4.111452104677811
144,4.5549739557145745,4.266833923199029
145,4.722935150696329,4.407074654001667
146,4.854420185089667,4.531440805696052
147,4.959870282461509,4.639517824274391
148,5.050572398229201,4.730981224606175
149,5.123971833634575,4.805502399267791
150,5.1767789622024045,4.862672589632281
151,5.2088002998604015,4.900943442424035
152,5.2176782641520605,4.917601400835486
153,5.203891142135515,4.910680554923301
154,5.1665619331563715,4.879122832914397
155,5.107138375965182,4.821890339319511
156,5.023634640704038,4.737419354310476
157,4.917050839146885,4.622681074825905
158,4.787377251812035,4.471776423285418
159,4.63396771064389,4.277463915900566
160,4.448627579288845,4.03263743726218
161,4.2339991837259685,3.7307425246431074
162,3.9869349595542687,3.3668558880266604
163,3.692750265988365,2.937905200048721
164,3.3339424549270538,2.4427459191052634
165,2.8945812517392215,1.8817421182288225
166,2.334288670500442,1.2568470395437925
167,1.6263467007072436,0.5713939460623059
168,0.7699023467114543,-0.16995143148393557
169,-0.2253081272828952,-0.9611545821691523
170,-1.3322811949440043,-1.7945399276680891
171,-2.517221241467392,-2.661467440285349
172,-3.746305123825869,-3.552242504557797
173,-4.990930039810752,-4.455584344596431
174,-6.224476775626498,-5.358724400762224
175,-7.421104843519879,-6.247599991224663
176,-8.556839544020303,-7.1057566718849
177,-9.607689001690012,-7.915208504693617
178,-10.552308639692013,-8.658145469360125
179,-11.370696043384719,-9.317625515932145
180,-12.047016197349782,-9.878820346671771
181,-12.567402854707062,-10.329500417789923
182,-12.922578556057202,-10.660331944399108
183,-13.105179376584706,-10.864677700541868
184,-13.11253158138381,-10.938763939703783
185,-12.94378628984966,-10.881697479841412
186,-12.60296301728571,-10.695636373531597
187,-12.095948965579264,-10.385740269401339
188,-11.433788148257262,-9.960126974894466
189,-10.629462521594109,-9.429962367537948
190,-9.70127260279119,-8.809093878925815
191,-8.66915365038044,-8.112837345168952
192,-7.558029080540921,-7.358499983211091
193,-6.3939085659971955,-6.566141960146184
194,-5.207739630443647,-5.7575980865998355
195,-4.029559127345354,-4.956158553202984
196,-2.89126933856831,-4.185911064316391
197,-1.82773311096739,-3.4705954752314723
198,-0.8713834023313725,-2.831047343621462
199,-0.03478524708358106,-2.284596919800551
200,0.6554939591842832,-1.8457295281336303
201,1.157265038583596,-1.525891267033171
202,1.441258142450464,-1.3332022234881622
203,1.482125311293663,-1.2726940398219735
204,1.2614917826729615,-1.3460370175560792
205,0.7797316379492895,-1.5514468224231819
206,0.07807822072292772,-1.8837836714406184
207,-0.7933548928177181,-2.3343884458866118
208,-1.801659552786606,-2.8914997142085204
209,-2.912064950572172,-3.5414174816691033
210,-4.089626296730762,-4.268060171650038
211,-5.304761260005791,-5.052161228436255
212,-6.527913229657554,-5.872325895134468
213,-7.726935614953203,-6.705289196868826
214,-8.873332620882165,-7.52664148685869
215,-9.938619050995271,-8.311888586851657
216,-10.899386232125732,-9.039070201972002
217,-11.733305061374072,-9.689258318296526
218,-12.424074460472552,-10.2459748816947
219,-12.9565539835683,-10.695295972675606
220,-13.321705858117369,-11.026274600562498
221,-13.511214119924793,-11.230633828536654
222,-13.522849437144602,-11.303200451333216
223,-13.354716161924076,-11.241959944150187
224,-13.011190851443343,-11.04821760213736
225,-12.496740986659125,-10.7263211074518
226,-11.822557693953717,-10.28374036996582
227,-10.999844588228516,-9.730822146574358
228,-10.047241598694836,-9.081104046919867
229,-8.983227363540587,-8.350961537193278
230,-7.834112439995656,-7.560041197386222
231,-6.624606485658677,-6.728740023747941
232,-5.385970464651254,-5.877103886061163
233,-4.144482146655213,-5.02533647823683
234,-2.9329329573780702,-4.194034803560751
235,-1.78077704032776,-3.403157732392088
236,-0.7291486666917092,-2.674918131406768
237,0.18601119151027212,-2.032093537231822
