,Planar,Macroscopic
0,3.3033200095929454,2.786094222847533
1,3.2428591089945598,2.817288352337762
2,3.1205390855618704,2.83021851155308
3,2.9541704702633593,2.827062293783974
4,2.7831677626831914,2.8126156284663484
5,2.6458945606030895,2.7934241509477467
6,2.5473084819816503,2.7756791401261824
7,2.4735858569887603,2.7632593283352263
8,2.4122456621640818,2.7588719195712503
9,2.360549159240344,2.763782512459381
10,2.331957576544879,2.7772921812799827
11,2.3465030143322987,2.7982785296909376
12,2.412638449205511,2.8267113600950307
13,2.5390013950570296,2.862363469132946
14,2.7226422030879025,2.9032961312956553
15,2.9534590577894932,2.946004527950701
16,3.195832764304604,2.9878638375395123
17,3.402410605873303,3.028763802021386
18,3.546494048363761,3.070840328504666
19,3.6206133803917484,3.116429944104083
20,3.632330032835554,3.166750874942863
21,3.5959084329458233,3.2217454959067986
22,3.5199556816119646,3.280761870724754
23,3.4146457003939057,3.3427730771465423
24,3.3007760545802634,3.406907313814704
25,3.2097852176624753,3.472516287756624
26,3.1696231388631237,3.540159478891663
27,3.181162240029858,3.6120842872040413
28,3.2377343316429203,3.691086262857448
29,3.336406191683137,3.778868308196187
30,3.474933195928709,3.8753970071361286
31,3.6552031106492207,3.9803614597944597
32,3.8770584631148073,4.0938904692985965
33,4.134420588744053,4.215884554670723
34,4.413410204735312,4.3446113924104175
35,4.697057155496113,4.476303104659887
36,4.968529610125074,4.605509155728177
37,5.200690196489064,4.724937177507527
38,5.369846613754501,4.826200371992594
39,5.485268580795759,4.90103282081882
40,5.563477852686448,4.942380047939848
41,5.610539237092167,4.944829936592337
42,5.617859133894772,4.905384763895836
43,5.580236038152919,4.823897317947981
44,5.495332058092361,4.702538462291439
45,5.330866632058149,4.544848954606272
46,5.060471832374115,4.355115890158828
47,4.683390270555214,4.138765632566926
48,4.219183284107215,3.9016505695333685
49,3.699301106394034,3.6496718239625463
50,3.1670453545777986,3.389377276213941
51,2.667646561682666,3.1288351451638627
52,2.2289508029175287,2.8772273526157077
53,1.858646017163124,2.6421226746055684
54,1.553334450071077,2.4279302293528797
55,1.3063855598348268,2.238164209724269
56,1.1017754791504624,2.076669209592605
57,0.949651160520949,1.9481708049409114
58,0.8781759932115465,1.855521946627314
59,0.9207808781907534,1.8000734989667704
60,1.0889188680279867,1.7819416430763593
61,1.3483518339704124,1.7998234935792823
62,1.6398680435439723,1.850929069976591
63,1.9150782787431546,1.931840398273893
64,2.153561830004171,2.038778316884377
65,2.370418986824726,2.16788383121914
66,2.551503834462458,2.3159668693009787
67,2.7012290485042505,2.4797033495126466
68,2.840671948550401,2.654489864180762
69,2.9895198707352852,2.833411700109183
